#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 10:31:07 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.204	491	13.230	628
13.256	543	13.281	679
13.306	589	13.331	725
13.357	629	13.382	766
13.407	660	13.433	798
13.458	681	13.484	820
13.508	690	13.534	830
13.560	686	13.585	829
13.610	672	13.635	819
13.661	647	13.687	799
13.711	613	13.737	767
13.762	572	13.788	728
13.813	522	13.838	682
13.864	472	13.889	631
13.914	419	13.940	579
13.965	369	13.991	529
14.015	322	14.041	481
14.067	283	14.092	440
14.117	251	14.142	406
14.168	228	14.194	383
14.218	220	14.244	371
14.269	228	14.295	372
14.319	244	14.345	383
14.371	268	14.396	406
14.421	303	14.446	438
14.472	346	14.498	479
14.522	395	14.548	525
14.573	446	14.599	575
14.624	497	14.649	627
14.675	546	14.700	679
14.725	590	14.751	725
14.776	628	14.802	766
14.826	657	14.852	799
14.878	676	14.903	820
14.928	682	14.953	831
14.979	677	15.005	830
15.029	663	15.055	820
15.080	638	15.106	799
15.130	604	15.156	768
15.182	561	15.207	728
15.232	515	15.257	682
15.283	464	15.309	632
15.333	414	15.359	579
15.384	366	15.410	527
15.435	322	15.460	480
15.486	284	15.511	440
15.536	255	15.562	404
15.587	235	15.613	381
15.637	230	15.663	369
15.689	238	15.714	371
15.739	254	15.764	382
15.790	278	15.816	405
15.840	312	15.866	438
15.891	355	15.917	478
15.941	403	15.967	526
15.993	453	16.018	577
16.043	501	16.068	629
16.094	549	16.120	679
16.144	591	16.170	727
16.195	626	16.221	767
16.246	653	16.271	799
16.297	670	16.322	822
16.347	675	16.373	832
16.398	669	16.424	831
16.448	655	16.474	821
16.500	629	16.525	800
16.550	595	16.575	768
16.601	554	16.627	727
16.651	508	16.677	680
16.702	459	16.728	629
16.752	411	16.778	576
16.804	364	16.829	526
16.855	322	16.879	478
16.905	287	16.931	437
16.956	260	16.981	403
17.006	243	17.032	379
17.058	240	17.082	368
17.108	247	17.133	369
17.159	264	17.184	381
17.209	289	17.235	404
17.260	323	17.285	438
17.311	364	17.336	479
17.362	410	17.386	527
17.412	458	17.438	577
17.463	505	17.488	631
17.513	550	17.539	682
17.565	590	17.589	730
17.615	624	17.640	770
17.666	649	17.690	801
17.716	664	17.742	824
17.767	668	17.792	834
17.817	661	17.843	832
17.869	646	17.893	822
17.919	619	17.944	800
17.970	587	17.995	767
18.020	546	18.046	726
18.071	501	18.096	678
18.122	455	18.147	627
18.173	408	18.197	574
18.223	364	18.249	523
18.274	324	18.299	475
18.324	291	18.350	434
18.376	266	18.400	400
18.426	251	18.451	377
18.477	249	18.501	365
18.527	257	18.553	367
18.578	274	18.603	380
18.628	299	18.654	404
18.680	332	18.704	439
18.730	373	18.755	481
18.781	417	18.806	530
18.831	463	18.857	581
18.882	508	18.907	634
18.933	551	18.958	685
18.984	589	19.008	733
19.034	621	19.060	773
19.085	644	19.110	805
19.135	657	19.161	826
19.187	659	19.211	836
19.237	654	19.262	833
19.288	637	19.312	822
19.338	611	19.364	799
19.389	579	19.414	766
19.439	539	19.465	724
19.491	496	19.515	676
19.541	451	19.566	624
19.592	406	19.617	571
19.642	364	19.668	518
19.693	326	19.718	471
19.744	296	19.769	430
19.795	273	19.820	397
19.845	259	19.871	374
19.896	258	19.922	364
19.946	267	19.972	367
19.998	283	20.023	380
20.048	307	20.073	405
20.099	340	20.125	441
20.149	380	20.175	484
20.200	422	20.226	532
20.250	466	20.276	586
20.302	510	20.327	638
20.352	551	20.377	690
20.403	587	20.429	736
20.453	616	20.479	777
20.504	638	20.530	808
20.555	650	20.580	829
20.606	652	20.631	837
20.656	644	20.682	834
20.707	629	20.733	821
20.757	603	20.783	797
20.809	571	20.834	763
20.859	533	20.884	720
20.910	492	20.936	671
20.960	448	20.986	619
21.011	406	21.037	565
21.061	365	21.087	514
21.113	329	21.138	466
21.163	300	21.188	425
21.214	279	21.240	393
21.264	267	21.290	371
21.315	267	21.341	362
21.366	275	21.391	365
21.417	291	21.442	381
21.467	315	21.493	407
21.518	347	21.544	443
21.568	385	21.594	487
21.620	427	21.645	537
21.670	468	21.695	589
21.721	511	21.747	644
21.771	550	21.797	695
21.822	584	21.848	741
21.872	613	21.898	781
21.924	632	21.949	812
21.974	643	21.999	831
22.025	644	22.051	838
22.075	636	22.101	834
22.126	621	22.152	820
22.177	596	22.202	796
22.228	565	22.253	760
22.278	528	22.304	716
22.329	488	22.355	666
22.379	447	22.405	614
22.431	406	22.456	560
22.481	367	22.506	508
22.532	334	22.558	461
22.582	306	22.608	420
22.633	286	22.659	389
22.683	275	22.709	368
22.735	275	22.760	361
22.785	283	22.810	366
22.836	299	22.862	382
22.886	323	22.912	410
22.937	353	22.963	448
22.988	390	23.013	492
23.039	430	23.064	542
23.090	470	23.115	595
23.140	510	23.166	650
23.191	548	23.216	701
23.242	581	23.267	747
23.293	607	23.317	785
23.343	626	23.369	815
23.394	636	23.419	833
23.444	636	23.470	838
23.496	630	23.520	833
23.546	614	23.571	818
23.597	590	23.621	792
23.647	560	23.673	755
23.698	525	23.723	710
23.748	486	23.774	660
23.800	446	23.824	607
23.850	407	23.875	553
23.901	370	23.926	501
23.951	338	23.977	455
24.002	311	24.027	416
24.053	292	24.078	385
24.104	283	24.128	367
24.154	282	24.180	360
24.205	289	24.230	368
24.255	306	24.281	384
24.307	329	24.331	414
24.357	359	24.382	452
24.408	394	24.432	498
24.458	432	24.484	550
24.509	470	24.534	602
24.559	509	24.585	656
24.611	545	24.635	707
24.661	576	24.686	752
24.712	603	24.737	790
24.762	620	24.788	817
24.813	629	24.838	834
24.864	630	24.889	838
24.915	623	24.939	831
24.965	607	24.991	815
25.016	585	25.041	788
25.066	556	25.092	750
25.118	522	25.142	703
25.168	484	25.193	653
25.219	446	25.243	599
25.269	409	25.295	546
25.320	373	25.345	495
25.370	342	25.396	449
25.422	317	25.446	411
25.472	299	25.497	382
25.523	290	25.548	365
25.573	290	25.599	361
25.624	296	25.649	368
25.675	312	25.700	388
25.726	334	25.750	418
25.776	363	25.802	458
25.827	396	25.852	504
25.877	433	25.903	555
25.929	470	25.953	610
25.979	508	26.004	663
26.030	542	26.054	713
26.080	572	26.106	757
26.131	596	26.157	794
26.181	615	26.207	820
26.233	623	26.258	834
26.283	624	26.308	837
26.334	618	26.360	829
26.384	603	26.410	811
26.435	581	26.461	781
26.486	553	26.511	743
26.537	520	26.562	696
26.587	484	26.613	645
26.638	447	26.664	591
26.688	410	26.714	538
26.740	376	26.765	488
26.790	347	26.815	444
26.841	322	26.867	406
26.891	305	26.917	379
26.942	296	26.968	364
26.992	295	27.018	362
27.044	302	27.069	371
27.094	317	27.119	392
27.145	339	27.171	425
27.195	366	27.221	465
27.246	398	27.272	512
27.297	434	27.322	564
27.348	470	27.373	617
27.398	505	27.424	670
27.449	539	27.475	719
27.499	568	27.525	762
27.551	592	27.576	797
27.601	609	27.626	821
27.652	618	27.678	834
27.702	619	27.728	834
27.753	613	27.779	825
27.803	598	27.829	805
27.855	577	27.880	775
27.905	550	27.930	735
27.956	519	27.982	688
28.006	484	28.032	637
28.057	449	28.083	583
28.108	413	28.133	531
28.159	381	28.184	481
28.209	352	28.235	438
28.260	328	28.286	403
28.310	310	28.336	377
28.362	302	28.387	364
28.412	301	28.437	364
28.463	307	28.489	376
28.513	321	28.539	398
28.564	342	28.590	432
28.614	369	28.640	472
28.666	399	28.691	520
28.716	434	28.741	572
28.767	469	28.793	625
28.817	504	28.843	677
28.868	536	28.894	725
28.919	564	28.944	766
28.970	589	28.995	799
29.020	604	29.046	822
29.071	613	29.097	832
29.121	615	29.147	831
29.173	609	29.198	820
29.223	596	29.248	799
29.274	575	29.300	767
29.324	549	29.350	726
29.375	519	29.401	679
29.426	485	29.451	628
29.477	450	29.502	574
29.527	416	29.552	523
29.578	384	29.604	475
29.628	355	29.654	433
29.679	331	29.705	400
29.730	315	29.755	377
29.781	306	29.806	366
29.831	304	29.857	368
29.882	311	29.908	380
29.932	324	29.958	405
29.984	344	30.009	439
30.034	370	30.059	481
30.085	400	30.111	529
30.135	433	30.161	580
30.186	468	30.212	633
30.237	502	30.262	683
30.288	533	30.313	730
30.338	561	30.363	769
30.389	585	30.415	801
30.439	601	30.465	821
30.490	610	30.516	830
30.541	612	30.566	826
30.592	607	30.617	816
30.643	593	30.668	791
30.693	574	30.719	759
30.744	549	30.769	717
30.795	519	30.820	670
30.846	486	30.870	619
30.896	453	30.922	566
30.947	418	30.972	516
30.997	387	31.023	470
31.049	359	31.073	430
31.099	335	31.124	399
31.150	319	31.174	378
31.200	310	31.226	369
31.251	308	31.276	372
31.301	313	31.327	387
31.353	327	31.377	412
31.403	346	31.428	448
31.454	370	31.479	489
31.504	400	31.530	538
31.555	433	31.580	589
31.606	466	31.631	640
31.657	499	31.681	690
31.707	531	31.733	734
31.758	559	31.783	773
31.808	582	31.834	801
31.860	598	31.884	819
31.910	607	31.935	826
31.961	609	31.986	821
32.011	605	32.037	808
32.062	592	32.087	784
32.112	573	32.138	750
32.164	549	32.188	708
32.214	520	32.239	660
32.265	488	32.290	609
32.315	454	32.341	558
32.366	421	32.391	509
32.417	389	32.442	465
32.468	361	32.492	427
32.518	338	32.544	398
32.569	321	32.594	378
32.619	313	32.645	373
32.671	310	32.695	377
32.721	315	32.746	394
32.772	327	32.797	420
