#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 10:31:07 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	733	0.050	830
0.076	734	0.100	831
0.126	736	0.152	832
0.177	737	0.202	832
0.227	736	0.253	832
0.279	735	0.303	832
0.329	733	0.354	831
0.380	730	0.405	831
0.430	729	0.456	829
0.481	728	0.506	828
0.532	728	0.557	827
0.583	728	0.607	826
0.633	728	0.659	826
0.684	728	0.709	827
0.734	728	0.760	828
0.786	729	0.810	829
0.836	728	0.861	829
0.887	729	0.911	829
0.937	728	0.963	830
0.988	727	1.014	830
1.038	727	1.064	830
1.090	727	1.115	829
1.140	727	1.165	831
1.191	728	1.217	830
1.241	729	1.267	829
1.292	730	1.318	829
1.343	730	1.368	829
1.394	730	1.419	829
1.444	730	1.470	828
1.495	730	1.521	827
1.545	730	1.571	826
1.597	729	1.622	824
1.647	729	1.672	823
1.698	729	1.724	822
1.748	729	1.774	823
1.799	729	1.825	823
1.849	731	1.875	825
1.901	731	1.926	826
1.951	732	1.976	828
2.002	732	2.028	827
2.052	731	2.078	827
2.103	731	2.129	825
2.154	731	2.179	823
2.205	728	2.230	815
2.255	716	2.281	795
2.306	693	2.332	762
2.356	661	2.382	720
2.408	619	2.433	669
2.458	572	2.483	613
2.509	520	2.535	553
2.559	466	2.585	494
2.610	415	2.636	438
2.660	368	2.686	388
2.712	326	2.737	347
2.762	293	2.787	315
2.813	270	2.839	297
2.863	257	2.889	295
2.914	262	2.940	305
2.965	276	2.990	327
3.016	300	3.041	360
3.066	333	3.092	404
3.117	375	3.143	456
3.167	423	3.193	513
3.219	474	3.244	573
3.269	526	3.294	630
3.320	577	3.346	683
3.370	623	3.396	731
3.421	662	3.447	769
3.471	693	3.497	798
3.523	715	3.548	814
3.573	725	3.598	816
3.624	722	3.650	807
3.674	709	3.700	788
3.725	687	3.751	756
3.776	654	3.801	713
3.827	614	3.852	663
3.877	567	3.903	608
3.928	515	3.954	550
3.978	464	4.004	492
4.030	414	4.055	439
4.080	367	4.105	390
4.131	328	4.157	350
4.181	295	4.207	320
4.232	273	4.258	303
4.282	262	4.308	300
4.334	266	4.359	310
4.384	280	4.409	332
4.435	305	4.461	366
4.485	337	4.511	408
4.536	378	4.562	459
4.587	426	4.612	514
4.638	477	4.663	572
4.689	528	4.714	629
4.739	577	4.765	682
4.790	623	4.815	729
4.841	661	4.866	767
4.892	691	4.916	795
4.942	712	4.968	811
4.993	721	5.018	813
5.043	717	5.069	803
5.095	705	5.119	783
5.145	682	5.170	752
5.196	649	5.220	708
5.246	609	5.272	659
5.297	561	5.322	605
5.347	511	5.373	548
5.399	460	5.423	491
5.449	411	5.474	438
5.500	365	5.525	390
5.550	326	5.576	351
5.601	295	5.626	322
5.652	273	5.677	306
5.703	264	5.727	304
5.753	269	5.779	315
5.804	283	5.829	337
5.854	307	5.880	370
5.906	340	5.930	413
5.956	381	5.981	463
6.007	429	6.031	519
6.057	479	6.083	575
6.108	530	6.133	631
6.158	578	6.184	683
6.210	621	6.234	728
6.260	659	6.285	766
6.311	689	6.336	792
6.361	709	6.387	807
6.412	717	6.437	807
6.463	713	6.488	798
6.514	700	6.538	777
6.564	676	6.590	746
6.615	643	6.640	704
6.665	603	6.691	656
6.717	556	6.741	601
6.767	507	6.792	545
6.818	457	6.842	490
6.868	407	6.894	438
6.919	364	6.944	391
6.969	326	6.995	353
7.021	295	7.045	325
7.071	275	7.096	309
7.122	267	7.147	309
7.172	272	7.198	319
7.223	287	7.248	341
7.274	311	7.299	375
7.325	344	7.349	418
7.375	385	7.401	467
7.426	432	7.451	521
7.476	481	7.502	577
7.528	531	7.552	631
7.578	578	7.603	683
7.629	622	7.653	727
7.679	659	7.705	764
7.730	688	7.756	790
7.780	706	7.806	803
7.832	713	7.857	803
7.882	709	7.907	794
7.933	695	7.959	774
7.983	672	8.009	741
8.034	638	8.060	700
8.085	598	8.110	651
8.136	552	8.161	598
8.186	503	8.212	543
8.237	453	8.263	488
8.287	406	8.313	437
8.339	362	8.364	392
