#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 11:06:45 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.205	633	13.230	420
13.256	611	13.281	445
13.306	582	13.332	476
13.357	548	13.383	512
13.407	511	13.433	553
13.459	471	13.484	594
13.509	433	13.534	634
13.560	398	13.586	671
13.610	367	13.636	703
13.661	342	13.687	728
13.712	325	13.737	745
13.763	317	13.788	752
13.813	319	13.838	750
13.864	328	13.890	741
13.914	346	13.940	721
13.965	371	13.991	694
14.016	401	14.041	661
14.067	437	14.092	624
14.117	476	14.143	583
14.168	514	14.194	543
14.218	552	14.244	504
14.270	585	14.295	469
14.320	614	14.345	440
14.371	635	14.397	419
14.421	648	14.447	406
14.472	651	14.498	404
14.523	647	14.548	408
14.574	634	14.599	425
14.624	612	14.649	448
14.675	585	14.701	478
14.725	552	14.751	514
14.776	514	14.802	552
14.827	476	14.852	592
14.878	438	14.903	632
14.929	402	14.954	668
14.979	370	15.005	700
15.030	344	15.055	724
15.081	326	15.106	741
15.132	318	15.156	747
15.182	319	15.208	746
15.233	327	15.258	736
15.283	344	15.309	718
15.335	368	15.359	692
15.385	398	15.410	660
15.436	434	15.460	624
15.486	471	15.512	584
15.537	510	15.562	545
15.587	547	15.613	507
15.639	581	15.663	472
15.689	609	15.714	444
15.740	631	15.765	423
15.790	644	15.816	410
15.841	649	15.866	407
15.892	645	15.917	412
15.943	634	15.967	428
15.993	613	16.019	450
16.044	587	16.069	479
16.094	555	16.120	514
16.146	518	16.170	552
16.196	480	16.221	592
16.247	442	16.272	630
16.297	406	16.323	666
16.348	374	16.373	696
16.398	349	16.424	721
16.450	330	16.474	737
16.500	320	16.525	744
16.551	320	16.576	743
16.601	327	16.627	734
16.652	343	16.677	715
16.703	366	16.728	691
16.754	395	16.778	658
16.804	429	16.830	623
16.855	467	16.880	585
16.905	505	16.931	546
16.957	542	16.981	509
17.007	575	17.032	475
17.058	604	17.083	447
17.108	627	17.134	426
17.159	641	17.184	414
17.209	646	17.235	411
17.261	644	17.285	415
17.311	634	17.336	430
17.362	614	17.387	452
17.412	589	17.438	482
17.463	557	17.488	515
17.514	522	17.539	553
17.565	484	17.589	591
17.615	447	17.641	629
17.666	411	17.691	664
17.716	379	17.742	694
17.768	352	17.792	718
17.818	333	17.843	733
17.869	322	17.894	741
17.919	321	17.945	740
17.970	327	17.996	731
18.020	342	18.046	713
18.072	364	18.097	688
18.122	392	18.147	658
18.173	425	18.199	622
18.223	462	18.249	585
18.274	499	18.300	547
18.325	536	18.350	510
18.376	570	18.401	477
18.426	598	18.452	450
18.477	622	18.503	429
18.527	637	18.553	417
18.579	643	18.604	414
18.629	642	18.654	419
18.680	633	18.706	432
18.730	614	18.756	454
18.781	590	18.807	482
18.832	559	18.857	517
18.883	525	18.908	553
18.933	488	18.958	591
18.984	451	19.010	628
19.034	416	19.060	662
19.085	383	19.111	692
19.136	356	19.161	715
19.187	337	19.212	730
19.237	325	19.263	738
19.288	323	19.314	737
19.338	328	19.364	728
19.390	341	19.415	711
19.440	362	19.465	686
19.491	389	19.517	657
19.541	421	19.567	622
19.592	457	19.618	585
19.643	494	19.668	548
19.694	530	19.719	512
19.744	565	19.769	479
19.795	594	19.821	452
19.845	617	19.871	432
19.896	633	19.922	420
19.947	640	19.972	417
19.998	639	20.023	421
20.048	631	20.074	435
20.099	614	20.125	457
20.149	591	20.175	484
20.201	562	20.226	517
20.251	528	20.276	553
20.302	492	20.328	590
20.352	455	20.378	627
20.403	420	20.429	661
20.454	388	20.479	690
20.505	361	20.530	713
20.555	340	20.580	728
20.606	328	20.632	736
20.656	325	20.682	735
20.707	329	20.733	726
20.758	341	20.783	710
20.809	362	20.834	686
20.859	387	20.885	656
20.910	419	20.936	622
20.960	454	20.986	585
