#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 09:21:45 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.204	415	13.230	530
13.256	413	13.281	531
13.306	419	13.331	531
13.357	425	13.383	530
13.407	438	13.433	530
13.458	451	13.484	531
13.509	467	13.534	531
13.560	485	13.585	531
13.610	505	13.636	530
13.661	523	13.687	531
13.711	538	13.737	531
13.763	554	13.788	531
13.813	566	13.838	531
13.864	575	13.889	531
13.914	578	13.940	531
13.965	579	13.991	530
14.015	573	14.041	531
14.067	566	14.092	530
14.117	553	14.142	530
14.168	540	14.194	531
14.218	524	14.244	531
14.269	505	14.295	530
14.320	486	14.345	531
14.371	468	14.396	530
14.421	453	14.447	530
14.472	439	14.498	530
14.522	428	14.548	530
14.574	418	14.599	530
14.624	414	14.649	530
14.675	413	14.700	531
14.725	418	14.751	530
14.776	426	14.802	530
14.826	437	14.852	530
14.878	450	14.903	531
14.928	468	14.953	530
14.979	485	15.005	531
15.029	504	15.055	530
15.080	521	15.106	531
15.131	536	15.156	531
15.182	550	15.207	531
15.232	562	15.258	531
15.283	571	15.309	531
15.333	573	15.359	531
15.385	574	15.410	530
15.435	568	15.460	531
15.486	561	15.511	530
15.536	549	15.562	531
15.587	535	15.613	530
15.637	520	15.663	531
15.689	502	15.714	530
15.739	485	15.764	531
15.790	467	15.816	530
15.840	451	15.866	531
15.891	438	15.917	530
15.942	427	15.967	529
15.993	418	16.018	531
16.043	415	16.069	531
16.094	414	16.120	531
16.144	420	16.170	530
16.196	426	16.221	531
16.246	438	16.271	530
16.297	450	16.323	531
16.347	466	16.373	530
16.398	484	16.424	531
16.448	500	16.474	530
16.500	517	16.525	530
16.550	533	16.575	530
16.601	547	16.627	530
16.651	557	16.677	530
16.702	565	16.728	531
16.753	567	16.778	531
16.804	568	16.829	530
16.854	563	16.880	530
16.905	556	16.931	530
16.955	544	16.981	530
17.007	531	17.032	530
17.057	515	17.082	531
17.108	497	17.134	531
17.158	480	17.184	530
17.209	463	17.235	530
17.259	448	17.285	531
17.311	433	17.336	530
17.361	424	17.386	531
17.412	414	17.438	531
17.462	411	17.488	530
17.513	412	17.539	531
17.564	416	17.589	530
17.615	422	17.640	530
17.665	435	17.691	530
17.716	449	17.742	530
17.766	463	17.792	530
17.818	481	17.843	531
17.868	496	17.893	531
17.919	513	17.945	531
17.969	527	17.995	530
18.020	541	18.046	531
18.070	551	18.096	531
18.122	559	18.147	530
18.172	561	18.197	531
18.223	560	18.249	530
18.273	556	18.299	531
18.324	548	18.350	530
18.375	538	18.400	530
18.426	523	18.451	531
18.476	509	18.502	530
18.527	491	18.553	531
18.577	474	18.603	530
18.629	456	18.654	530
18.679	443	18.704	530
18.730	428	18.756	530
18.780	419	18.806	530
18.831	410	18.857	531
18.881	409	18.907	530
18.933	407	18.958	530
18.984	414	19.008	530
19.034	420	19.060	530
19.085	430	19.110	530
19.135	445	19.161	530
19.187	459	19.211	530
19.237	476	19.262	530
19.288	491	19.313	530
19.338	508	19.364	530
19.389	521	19.414	529
19.440	535	19.465	531
19.491	544	19.515	530
19.541	551	19.567	530
19.592	555	19.617	530
19.642	554	19.668	530
19.694	550	19.718	530
19.744	542	19.769	530
19.795	532	19.819	531
19.845	517	19.871	530
19.896	503	19.921	530
19.946	485	19.972	531
19.998	469	20.022	530
20.048	452	20.073	531
20.099	438	20.124	530
20.149	426	20.175	531
20.200	417	20.225	531
20.251	408	20.276	530
20.302	405	20.326	530
20.352	406	20.378	530
20.403	411	20.428	530
20.453	420	20.479	531
20.505	429	20.529	529
20.555	443	20.580	531
20.606	455	20.630	530
20.656	472	20.682	530
20.707	487	20.732	531
20.757	504	20.783	530
20.809	516	20.833	531
20.859	530	20.884	530
20.910	541	20.935	530
20.960	548	20.986	530
21.011	549	21.036	530
21.062	548	21.087	530
21.113	546	21.137	530
21.163	537	21.189	530
21.214	527	21.239	529
21.264	512	21.290	530
21.316	498	21.340	530
21.366	480	21.391	531
21.417	466	21.441	530
21.467	448	21.493	531
21.518	436	21.543	530
21.568	424	21.594	530
21.620	414	21.644	530
21.670	408	21.695	531
21.721	404	21.746	530
21.771	408	21.797	530
21.822	411	21.847	530
21.873	419	21.898	530
21.924	428	21.949	529
21.974	442	22.000	530
22.025	454	22.051	530
22.075	471	22.101	530
22.127	485	22.152	530
22.177	502	22.202	530
22.228	514	22.254	531
22.278	526	22.304	530
22.329	537	22.355	530
22.379	543	22.405	530
22.431	546	22.456	530
22.481	544	22.506	531
22.532	541	22.558	530
22.582	531	22.608	530
22.633	521	22.659	530
22.684	508	22.709	530
22.735	494	22.760	530
22.785	477	22.811	530
22.836	463	22.862	530
22.886	449	22.912	531
22.938	435	22.963	530
22.988	423	23.013	531
23.039	414	23.065	530
23.089	409	23.115	530
23.140	405	23.166	530
23.190	407	23.216	530
23.242	411	23.267	530
23.292	419	23.317	530
23.343	428	23.369	530
23.393	441	23.419	530
23.444	455	23.470	530
23.495	469	23.520	530
23.546	485	23.571	531
23.596	501	23.622	530
23.647	513	23.673	530
23.697	524	23.723	530
23.749	534	23.774	531
23.799	539	23.824	530
23.850	542	23.876	529
23.900	540	23.926	530
23.951	536	23.977	530
24.001	527	24.027	530
24.053	518	24.078	529
24.103	504	24.128	530
24.154	492	24.180	530
24.204	476	24.230	531
24.255	462	24.281	530
24.306	448	24.331	530
24.357	435	24.382	530
24.407	424	24.433	530
24.458	415	24.484	530
24.508	410	24.534	530
24.560	407	24.585	529
24.610	409	24.635	531
24.661	412	24.687	530
24.711	421	24.737	530
24.762	430	24.788	531
24.812	443	24.838	530
24.864	456	24.889	530
24.914	471	24.939	530
24.965	485	24.991	531
25.015	500	25.041	530
25.066	513	25.092	530
25.117	523	25.142	529
25.168	532	25.193	531
25.219	536	25.244	531
25.269	539	25.295	530
25.320	536	25.345	531
25.371	532	25.396	531
25.422	524	25.446	531
25.472	515	25.498	530
25.523	502	25.548	531
25.573	489	25.599	530
25.625	475	25.649	530
25.675	461	25.700	530
25.726	448	25.750	531
25.776	435	25.802	531
25.827	425	25.852	530
25.877	417	25.903	529
25.929	411	25.953	530
25.979	408	26.004	530
26.030	411	26.055	530
26.080	414	26.106	531
26.131	424	26.156	530
26.182	432	26.207	530
26.233	443	26.257	530
26.283	457	26.309	530
26.334	472	26.359	530
26.384	485	26.410	530
26.436	499	26.460	530
26.486	511	26.511	530
26.537	520	26.561	530
26.587	529	26.613	531
26.638	533	26.663	530
26.688	536	26.714	531
26.740	533	26.764	531
26.790	530	26.815	530
26.841	522	26.866	531
26.891	512	26.917	530
26.942	500	26.967	530
26.993	488	27.018	530
27.044	475	27.068	530
27.094	461	27.120	530
27.145	448	27.170	531
27.195	436	27.221	530
27.247	426	27.271	530
27.297	418	27.322	530
27.348	413	27.372	529
27.398	410	27.424	529
27.449	413	27.474	530
27.499	417	27.525	531
27.551	425	27.575	530
27.601	434	27.626	530
27.652	446	27.677	530
27.702	459	27.728	529
27.753	472	27.778	530
27.804	485	27.829	530
27.855	497	27.879	530
27.905	509	27.931	531
27.956	518	27.981	531
28.006	527	28.032	530
28.058	530	28.082	532
28.108	532	28.133	530
28.159	529	28.183	530
28.209	526	28.235	530
28.260	519	28.286	531
28.310	509	28.336	530
28.362	499	28.387	530
28.412	485	28.437	530
28.463	474	28.489	530
28.513	460	28.539	531
28.564	448	28.590	530
28.615	436	28.640	530
28.666	427	28.691	531
28.716	418	28.742	530
28.767	415	28.793	530
28.817	415	28.843	531
28.869	415	28.894	530
28.919	419	28.944	530
