#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 10:31:07 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.205	408	13.230	551
13.256	435	13.280	551
13.306	465	13.332	551
13.357	498	13.382	551
13.407	530	13.433	552
13.459	561	13.483	552
13.509	590	13.534	552
13.560	613	13.585	553
13.610	630	13.636	553
13.661	641	13.686	554
13.712	644	13.737	554
13.763	642	13.787	555
13.813	631	13.839	554
13.864	615	13.889	555
13.914	592	13.940	554
13.966	565	13.990	554
14.016	536	14.041	554
14.067	503	14.091	554
14.117	470	14.143	554
14.168	441	14.194	553
14.218	412	14.244	554
14.270	389	14.295	552
14.320	372	14.345	552
14.371	362	14.397	551
14.421	358	14.447	551
14.472	361	14.498	551
14.523	372	14.548	551
14.574	390	14.599	551
14.624	412	14.650	551
14.675	439	14.701	551
14.725	470	14.751	551
14.777	501	14.802	551
14.827	533	14.852	552
14.878	563	14.904	552
14.928	590	14.954	553
14.979	613	15.005	553
15.029	629	15.055	554
15.081	639	15.106	554
15.131	642	15.156	554
15.182	639	15.208	554
15.232	628	15.258	554
15.283	611	15.309	554
15.334	588	15.359	555
15.385	561	15.410	554
15.435	531	15.461	554
15.486	500	15.512	554
15.536	468	15.562	554
15.588	438	15.613	554
15.638	412	15.663	553
15.689	389	15.715	552
15.739	373	15.765	552
15.790	363	15.816	551
15.840	360	15.866	551
15.892	364	15.917	551
15.942	376	15.967	552
15.993	393	16.019	551
16.043	416	16.069	551
16.094	443	16.120	551
16.145	473	16.170	551
16.196	504	16.221	552
16.246	536	16.272	552
16.297	565	16.323	552
16.347	591	16.373	553
16.399	613	16.424	553
16.449	629	16.474	554
16.500	637	16.526	553
16.550	640	16.576	554
16.601	636	16.627	554
16.651	624	16.677	554
16.703	607	16.728	554
16.753	585	16.778	554
16.804	557	16.830	554
16.854	528	16.880	554
16.905	497	16.931	553
16.956	465	16.981	554
17.007	436	17.032	553
17.057	410	17.083	552
17.108	389	17.134	552
17.158	373	17.184	551
17.210	365	17.235	551
17.260	362	17.285	552
17.311	367	17.337	551
17.361	379	17.387	551
17.412	397	17.438	551
17.463	420	17.488	551
17.514	448	17.539	552
17.564	477	17.589	552
17.615	508	17.641	552
17.665	539	17.691	552
17.716	567	17.742	553
17.767	592	17.792	552
17.818	613	17.843	554
17.868	628	17.894	553
17.919	635	17.945	554
17.969	637	17.995	554
18.021	633	18.046	554
18.071	621	18.096	554
18.122	603	18.148	554
18.172	580	18.198	554
18.223	553	18.249	554
18.274	524	18.299	554
18.325	493	18.350	553
18.375	463	18.400	553
18.426	434	18.452	553
18.476	409	18.502	552
18.527	389	18.553	552
18.578	374	18.603	551
18.629	367	18.654	551
18.680	365	18.705	551
18.730	371	18.756	551
18.781	383	18.806	551
18.832	401	18.857	551
18.883	424	18.907	551
18.933	451	18.959	552
18.984	480	19.009	553
19.034	511	19.060	552
19.086	541	19.110	552
19.136	569	19.161	553
19.187	593	19.211	553
19.237	613	19.263	554
19.288	626	19.313	552
19.338	633	19.364	554
19.390	635	19.414	554
19.440	630	19.465	554
19.491	617	19.516	554
19.541	600	19.567	554
19.592	577	19.617	554
19.643	549	19.668	554
19.694	521	19.718	554
19.744	490	19.770	553
19.795	460	19.820	553
19.845	433	19.871	553
19.897	408	19.921	551
19.947	389	19.972	552
19.998	375	20.023	552
20.048	368	20.074	551
20.099	367	20.124	551
20.149	374	20.175	551
20.201	386	20.225	552
20.251	405	20.276	551
20.302	428	20.327	552
20.352	455	20.378	552
20.403	483	20.428	552
20.454	514	20.479	553
20.505	543	20.529	553
20.555	570	20.581	553
20.606	594	20.631	553
20.656	612	20.682	554
20.708	625	20.732	554
20.758	632	20.783	554
20.809	633	20.834	554
20.859	626	20.885	554
20.910	614	20.935	554
20.960	595	20.986	554
21.012	572	21.036	553
21.062	545	21.087	553
21.113	517	21.138	554
21.163	487	21.189	552
21.214	458	21.239	552
21.265	431	21.290	552
21.316	407	21.340	552
21.366	389	21.392	551
21.417	377	21.442	552
21.467	370	21.493	552
21.519	370	21.543	551
21.569	377	21.594	551
21.620	389	21.645	552
21.670	408	21.696	551
21.721	432	21.747	552
21.771	458	21.797	552
21.823	487	21.848	552
21.873	516	21.898	553
21.924	545	21.950	552
21.974	571	22.000	552
22.025	594	22.051	554
22.076	612	22.101	553
22.127	623	22.152	554
22.177	629	22.203	554
22.228	630	22.254	554
22.278	622	22.304	554
22.330	610	22.355	554
22.380	592	22.405	554
22.431	568	22.457	553
22.481	542	22.507	553
22.532	513	22.558	553
22.583	484	22.608	553
22.634	456	22.659	552
22.684	430	22.709	552
22.735	407	22.761	552
22.785	389	22.811	552
22.836	377	22.862	552
22.887	372	22.912	552
22.938	372	22.963	552
22.988	380	23.014	552
23.039	393	23.065	551
23.089	412	23.115	552
23.141	435	23.166	552
23.191	462	23.216	552
23.242	490	23.268	553
23.292	519	23.318	553
23.343	547	23.369	552
23.394	573	23.419	553
23.445	595	23.470	554
23.495	612	23.520	553
23.546	623	23.572	553
23.596	627	23.622	553
23.647	628	23.673	553
23.698	619	23.723	554
23.749	606	23.774	554
23.799	587	23.825	553
23.850	564	23.876	553
23.900	538	23.926	554
23.952	510	23.977	553
24.002	481	24.027	553
24.053	454	24.079	552
24.103	428	24.129	552
24.154	406	24.180	552
24.205	390	24.230	552
24.256	379	24.281	552
24.306	374	24.331	552
24.357	375	24.383	552
24.407	382	24.433	551
24.458	397	24.484	552
24.509	416	24.534	552
24.560	439	24.585	552
24.610	465	24.636	552
24.661	494	24.687	553
24.711	522	24.737	552
24.763	549	24.788	553
24.813	574	24.838	554
24.864	595	24.890	553
24.914	611	24.940	553
24.965	621	24.991	553
25.016	626	25.041	553
25.067	624	25.092	554
25.117	617	25.143	553
25.168	602	25.194	554
25.218	584	25.244	553
25.269	560	25.295	554
25.320	535	25.345	552
25.371	506	25.396	554
25.422	478	25.447	552
25.472	451	25.498	553
25.523	426	25.548	552
25.574	405	25.599	552
25.625	390	25.649	552
25.675	380	25.701	552
25.726	376	25.751	552
25.776	378	25.802	552
25.828	386	25.852	551
25.878	400	25.903	552
25.929	419	25.954	552
25.979	443	26.005	552
26.030	469	26.055	552
26.080	497	26.106	552
26.132	524	26.156	552
26.182	552	26.207	553
26.233	576	26.258	553
26.283	596	26.309	553
26.334	611	26.359	553
26.385	620	26.410	554
26.436	624	26.460	553
26.486	622	26.512	554
26.537	613	26.562	553
26.587	599	26.613	553
26.639	580	26.663	552
26.689	557	26.714	553
26.740	531	26.765	553
26.790	503	26.816	552
26.841	475	26.866	553
26.891	449	26.917	552
26.943	426	26.967	552
26.993	405	27.018	552
27.044	391	27.069	552
27.094	382	27.120	552
27.145	378	27.170	552
27.196	380	27.221	552
27.247	389	27.271	551
27.297	404	27.323	552
27.348	423	27.373	552
27.398	447	27.424	553
27.450	472	27.474	552
27.500	500	27.525	553
27.551	527	27.576	553
27.601	553	27.627	553
27.652	577	27.677	553
27.703	596	27.728	553
27.754	610	27.778	553
27.804	619	27.829	553
27.855	622	27.880	554
27.905	619	27.931	554
27.956	610	27.981	553
28.007	595	28.032	553
28.058	576	28.082	553
28.108	554	28.134	552
28.159	527	28.184	552
28.209	500	28.235	552
28.261	473	28.285	552
28.311	447	28.336	552
28.362	424	28.387	552
28.412	405	28.438	552
28.463	391	28.489	552
28.514	383	28.539	552
28.565	381	28.590	552
28.615	383	28.640	551
28.666	393	28.692	552
28.716	408	28.742	552
28.767	427	28.793	553
28.818	450	28.843	552
28.869	476	28.894	554
28.919	502	28.945	553
28.970	530	28.996	553
29.020	555	29.046	553
29.072	578	29.097	553
29.122	596	29.147	553
29.173	609	29.199	554
29.223	617	29.249	553
29.274	620	29.300	554
29.325	616	29.350	553
29.376	607	29.401	552
29.426	592	29.451	553
29.477	573	29.503	553
29.527	550	29.553	552
29.578	524	29.604	553
29.629	497	29.654	553
29.680	470	29.705	553
29.730	446	29.756	552
29.781	423	29.807	552
29.831	406	29.857	552
29.883	393	29.908	553
29.933	384	29.958	553
29.984	382	30.010	551
30.034	386	30.060	552
30.085	396	30.111	552
30.136	411	30.161	552
30.187	431	30.212	552
30.237	454	30.263	552
30.288	479	30.314	553
30.338	505	30.364	553
30.389	532	30.415	553
30.440	557	30.465	553
30.491	578	30.516	553
30.541	596	30.567	553
30.592	608	30.618	553
30.642	615	30.668	553
30.694	618	30.719	554
30.744	613	30.769	553
30.795	604	30.821	552
30.845	588	30.871	553
30.896	569	30.922	553
