#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 10:31:07 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.205	614	13.230	756
13.256	597	13.281	736
13.306	576	13.332	707
13.357	549	13.382	673
13.408	518	13.433	634
13.459	483	13.483	591
13.509	449	13.535	549
13.560	415	13.585	507
13.610	384	13.636	470
13.662	358	13.686	439
13.712	337	13.737	414
13.763	323	13.788	399
13.813	317	13.839	393
13.864	318	13.889	397
13.915	327	13.940	410
13.966	343	13.990	432
14.016	365	14.041	461
14.067	391	14.092	497
14.117	424	14.143	537
14.168	457	14.193	580
14.219	490	14.244	621
14.270	524	14.294	662
14.320	554	14.346	697
14.371	580	14.396	728
14.421	600	14.447	751
14.473	613	14.497	765
14.523	619	14.548	769
14.574	618	14.599	766
14.624	609	14.650	754
14.675	594	14.701	732
14.726	572	14.751	703
14.777	545	14.802	669
14.827	514	14.852	629
14.878	480	14.904	588
14.928	447	14.954	545
14.979	414	15.005	505
15.030	384	15.055	468
15.081	358	15.106	438
15.131	338	15.157	414
15.182	326	15.208	400
15.232	320	15.258	396
15.284	322	15.309	400
15.334	331	15.359	414
15.385	347	15.411	436
15.435	369	15.461	466
15.486	396	15.512	502
15.537	427	15.562	540
15.588	458	15.613	583
15.638	492	15.663	625
15.689	524	15.715	664
15.739	553	15.765	699
15.790	578	15.816	729
15.841	598	15.866	751
15.892	610	15.917	764
15.942	616	15.968	767
15.993	614	16.019	764
16.043	605	16.069	750
16.095	590	16.120	728
16.145	568	16.170	699
16.196	541	16.222	664
16.246	511	16.272	624
16.297	478	16.323	584
16.348	446	16.373	542
16.399	414	16.424	502
16.449	385	16.475	467
16.500	359	16.526	438
16.550	340	16.576	414
16.601	328	16.627	401
16.652	323	16.677	398
16.703	324	16.728	402
16.753	334	16.779	417
16.804	350	16.830	440
16.854	371	16.880	470
16.906	398	16.931	507
16.956	429	16.981	546
17.007	461	17.033	587
17.057	493	17.083	629
17.108	524	17.134	668
17.159	553	17.184	702
17.210	577	17.235	729
17.260	596	17.286	751
17.311	607	17.337	763
17.361	611	17.387	765
17.412	610	17.438	761
17.463	600	17.488	746
17.514	586	17.539	723
17.564	564	17.590	693
17.615	538	17.641	659
17.665	507	17.691	619
17.717	476	17.742	579
17.767	444	17.792	538
17.818	413	17.844	498
17.868	384	17.894	464
17.919	360	17.945	436
17.970	342	17.995	415
18.021	331	18.046	403
18.071	326	18.097	400
18.122	328	18.148	406
18.172	338	18.198	421
18.223	353	18.249	445
18.274	374	18.299	475
18.325	401	18.350	512
18.375	431	18.401	551
18.426	462	18.452	592
18.476	494	18.502	632
18.528	524	18.553	669
18.578	552	18.603	704
18.629	575	18.655	731
18.679	593	18.705	751
18.730	604	18.756	761
18.781	609	18.806	763
18.832	607	18.857	757
18.882	598	18.908	743
18.933	582	18.959	719
18.983	560	19.009	689
19.035	534	19.060	653
19.085	505	19.110	615
19.136	474	19.161	575
19.186	442	19.212	534
19.237	412	19.263	496
19.287	384	19.313	462
19.339	361	19.364	435
19.389	343	19.414	415
19.440	332	19.466	405
19.490	329	19.516	403
19.541	331	19.567	409
19.592	341	19.617	427
19.643	356	19.668	449
19.693	378	19.719	481
19.744	404	19.770	517
19.794	433	19.820	556
19.846	464	19.871	597
19.896	495	19.921	637
19.947	525	19.972	673
19.997	552	20.023	706
20.048	575	20.074	732
20.098	591	20.124	750
20.150	601	20.175	759
20.200	606	20.225	760
20.251	604	20.277	754
20.301	594	20.327	738
20.352	578	20.378	715
20.403	557	20.428	684
20.454	532	20.479	649
20.504	503	20.530	609
20.555	472	20.581	570
20.605	441	20.631	530
20.657	412	20.682	493
20.707	385	20.732	461
20.758	362	20.783	434
20.808	346	20.834	416
20.859	335	20.885	407
20.909	331	20.935	406
20.961	334	20.986	414
21.011	344	21.036	432
21.062	360	21.088	455
21.112	381	21.138	486
21.163	406	21.189	522
21.214	435	21.239	561
21.265	465	21.290	601
21.315	496	21.341	639
21.366	525	21.392	676
21.416	551	21.442	707
21.468	574	21.493	732
21.518	590	21.543	749
21.569	599	21.595	757
21.619	604	21.645	758
21.670	601	21.696	750
21.720	591	21.746	733
21.772	576	21.797	709
21.822	554	21.847	679
21.873	529	21.899	644
21.923	500	21.949	605
21.974	470	22.000	565
22.025	440	22.050	526
22.076	411	22.101	490
22.126	385	22.152	459
22.177	364	22.203	434
22.227	347	22.253	417
22.279	338	22.304	410
22.329	334	22.354	409
22.380	337	22.406	418
22.430	347	22.456	436
22.481	362	22.507	460
22.531	383	22.557	491
22.583	409	22.608	527
22.633	437	22.658	566
22.684	467	22.710	605
22.734	497	22.760	643
22.785	525	22.811	678
22.836	551	22.861	709
22.887	572	22.912	732
22.937	588	22.963	748
22.988	598	23.014	755
23.038	602	23.064	755
23.090	598	23.115	745
23.140	588	23.165	728
23.191	572	23.217	703
23.241	552	23.267	673
23.292	527	23.318	638
23.342	498	23.368	599
23.394	468	23.419	560
23.444	439	23.469	523
23.495	411	23.521	488
23.545	386	23.571	458
23.596	364	23.622	434
23.647	348	23.672	418
23.698	339	23.723	412
23.748	336	23.774	412
23.799	339	23.825	423
23.849	349	23.875	441
23.901	366	23.926	466
23.951	386	23.976	497
24.002	411	24.028	533
24.052	439	24.078	571
24.103	468	24.129	609
24.153	498	24.179	646
24.205	526	24.230	681
24.256	550	24.280	709
24.306	571	24.332	732
24.357	587	24.382	746
24.407	596	24.433	751
24.459	599	24.483	750
24.509	596	24.534	741
24.560	586	24.585	722
24.610	570	24.636	698
24.661	549	24.686	667
24.712	524	24.737	632
24.763	496	24.787	595
24.813	467	24.839	556
24.864	438	24.889	519
24.914	410	24.940	485
24.966	386	24.990	456
25.016	365	25.041	435
25.067	350	25.091	420
25.117	341	25.143	414
25.168	338	25.193	416
25.218	342	25.244	427
25.270	352	25.294	445
25.320	367	25.345	471
25.371	389	25.396	502
25.421	413	25.447	538
25.472	441	25.497	576
25.523	470	25.548	613
25.574	499	25.598	649
25.624	527	25.650	682
25.675	551	25.700	710
25.725	572	25.751	731
25.777	586	25.801	744
25.827	594	25.852	749
25.878	598	25.902	747
25.928	593	25.954	736
25.979	583	26.004	717
26.029	567	26.055	692
26.081	547	26.105	662
26.131	522	26.156	627
26.182	494	26.207	590
26.232	465	26.258	552
26.283	438	26.308	516
26.334	409	26.359	484
26.385	385	26.409	457
26.435	365	26.461	435
26.486	351	26.511	423
26.536	342	26.562	417
26.588	339	26.612	420
26.638	343	26.663	433
26.689	354	26.713	451
26.739	370	26.765	477
26.790	391	26.815	508
26.840	416	26.866	543
26.892	443	26.916	580
26.942	472	26.967	617
26.993	500	27.018	652
27.043	528	27.069	684
27.094	551	27.119	711
27.145	571	27.170	730
27.196	585	27.221	742
27.246	593	27.272	745
27.297	596	27.323	743
27.347	591	27.373	730
27.399	581	27.424	712
27.449	565	27.474	687
27.500	544	27.526	656
27.550	520	27.576	622
27.601	492	27.627	585
27.651	464	27.677	549
27.703	436	27.728	513
27.753	409	27.778	482
27.804	385	27.830	456
27.854	365	27.880	436
27.905	351	27.931	425
27.956	343	27.981	421
28.007	341	28.032	425
28.057	346	28.083	437
28.108	356	28.134	457
28.158	373	28.184	483
28.210	394	28.235	514
28.260	418	28.285	548
28.311	446	28.337	585
28.361	474	28.387	620
28.412	502	28.438	654
28.462	528	28.488	685
28.514	552	28.539	710
28.564	571	28.589	729
28.615	584	28.641	739
28.665	592	28.691	743
28.716	594	28.742	738
28.767	590	28.792	726
28.818	579	28.843	707
28.868	563	28.894	681
28.919	543	28.945	651
28.969	517	28.995	617
29.021	490	29.046	581
29.071	462	29.096	545
29.122	434	29.148	511
29.172	408	29.198	481
29.223	385	29.249	456
29.273	365	29.299	438
29.325	352	29.350	427
29.375	344	29.400	425
29.426	342	29.452	429
29.476	348	29.502	442
29.527	358	29.553	462
29.578	374	29.603	488
29.629	396	29.654	519
29.679	420	29.705	553
