#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 09:21:45 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.205	397	13.230	491
13.256	387	13.281	471
13.306	381	13.332	456
13.357	381	13.383	444
13.407	386	13.433	439
13.459	396	13.484	441
13.509	411	13.534	447
13.560	428	13.586	458
13.610	449	13.636	474
13.661	472	13.687	495
13.711	496	13.737	518
13.763	518	13.788	542
13.813	540	13.838	568
13.864	558	13.890	593
13.914	572	13.940	616
13.965	581	13.991	635
14.016	587	14.041	650
14.067	586	14.092	661
14.117	581	14.143	664
14.168	570	14.194	664
14.218	556	14.244	657
14.270	538	14.295	645
14.320	517	14.345	629
14.371	495	14.397	609
14.421	472	14.447	585
14.472	450	14.498	561
14.523	430	14.548	534
14.574	413	14.599	511
14.624	400	14.649	488
14.675	391	14.701	469
14.725	386	14.751	453
14.776	387	14.802	444
14.827	393	14.852	439
14.878	404	14.903	441
14.928	418	14.954	448
14.979	436	15.005	460
15.029	456	15.055	477
15.081	477	15.106	497
15.131	499	15.156	521
15.182	520	15.208	548
15.232	540	15.258	571
15.283	556	15.309	595
15.334	569	15.359	618
15.385	577	15.410	638
15.435	581	15.460	651
15.486	579	15.512	661
15.536	574	15.562	665
15.587	563	15.613	663
15.638	549	15.663	655
15.689	530	15.714	643
15.740	511	15.765	626
15.790	489	15.816	606
15.841	468	15.866	582
15.892	449	15.917	557
15.943	430	15.967	531
15.993	415	16.019	507
16.044	403	16.069	485
16.094	396	16.120	466
16.146	393	16.170	453
16.196	394	16.221	443
16.247	401	16.271	440
16.297	411	16.323	441
16.348	425	16.373	450
16.398	442	16.424	463
16.450	462	16.474	481
16.500	482	16.525	502
16.551	502	16.576	526
16.601	522	16.627	550
16.652	540	16.677	575
16.703	554	16.728	601
16.754	565	16.778	621
16.804	572	16.830	639
16.855	574	16.880	653
16.905	573	16.931	661
16.957	567	16.981	664
17.007	557	17.032	661
17.058	542	17.083	653
17.108	525	17.134	640
17.159	505	17.184	623
17.209	486	17.235	601
17.261	466	17.285	577
17.311	448	17.336	552
17.362	432	17.387	527
17.412	418	17.438	503
17.463	408	17.488	483
17.514	402	17.539	464
17.565	399	17.589	451
17.615	401	17.641	443
17.666	408	17.691	440
17.716	418	17.742	443
17.768	432	17.792	453
17.818	448	17.843	466
17.869	467	17.894	485
17.919	486	17.945	506
17.970	504	17.995	530
18.020	522	18.046	556
18.072	538	18.096	580
18.122	551	18.147	603
18.173	560	18.198	625
18.223	567	18.249	642
18.274	569	18.299	654
18.325	566	18.350	661
18.376	559	18.400	663
18.426	550	18.452	659
18.477	535	18.502	650
18.527	520	18.553	636
18.579	502	18.603	618
18.629	484	18.654	596
18.680	465	18.705	573
18.730	448	18.756	547
18.781	433	18.807	523
18.831	421	18.857	499
18.883	412	18.908	479
18.933	408	18.958	462
18.984	406	19.010	450
19.034	409	19.060	443
19.085	415	19.111	441
19.136	425	19.161	446
19.187	438	19.212	456
19.237	453	19.263	470
19.288	470	19.314	490
19.338	488	19.364	512
19.390	506	19.415	535
19.440	521	19.465	561
19.491	535	19.517	586
19.541	547	19.567	608
19.592	556	19.618	627
19.643	561	19.668	643
19.694	562	19.719	654
19.744	559	19.769	660
19.795	552	19.821	661
19.845	543	19.871	655
19.896	529	19.922	646
19.947	515	19.972	631
19.998	498	20.023	612
20.048	481	20.074	590
20.099	464	20.125	567
20.149	449	20.175	541
20.201	435	20.226	518
20.251	424	20.276	495
20.302	416	20.328	476
20.352	412	20.378	460
20.403	411	20.429	449
20.454	415	20.479	443
20.505	421	20.530	444
20.555	431	20.580	450
20.606	443	20.632	461
20.656	457	20.682	476
20.707	473	20.733	496
20.758	489	20.783	518
20.809	505	20.834	541
20.859	520	20.885	566
20.910	533	20.936	590
20.960	544	20.986	611
21.012	551	21.037	630
21.062	555	21.087	644
21.113	556	21.139	654
21.163	553	21.189	659
21.214	547	21.240	658
21.265	537	21.290	652
21.316	525	21.341	641
21.366	511	21.391	626
21.417	496	21.443	607
21.467	480	21.493	585
21.518	464	21.544	561
21.569	450	21.594	536
21.620	438	21.645	513
21.670	429	21.696	491
21.721	422	21.747	473
21.771	418	21.797	459
21.823	417	21.848	450
21.873	420	21.898	446
21.924	427	21.950	447
21.974	436	22.000	454
22.025	447	22.051	465
22.076	461	22.101	482
22.127	475	22.152	503
22.177	490	22.203	524
22.228	505	22.254	547
22.278	519	22.304	572
22.329	531	22.355	594
22.380	540	22.405	615
22.431	547	22.456	632
22.482	550	22.507	645
22.532	551	22.558	653
22.583	548	22.608	657
22.634	541	22.659	654
22.685	532	22.709	647
22.735	521	22.761	636
22.786	508	22.811	619
22.836	494	22.862	600
22.888	479	22.912	578
22.938	466	22.963	555
22.989	452	23.014	531
23.039	441	23.065	509
23.090	432	23.115	488
23.140	426	23.166	472
23.192	423	23.216	459
23.242	423	23.267	451
23.293	425	23.318	448
23.343	432	23.369	451
23.394	440	23.419	459
23.445	451	23.470	472
23.496	463	23.520	489
23.546	477	23.572	508
23.597	490	23.622	531
23.647	504	23.673	553
23.699	516	23.723	577
23.749	528	23.774	598
23.800	535	23.825	617
23.850	541	23.876	633
23.901	545	23.926	645
23.951	545	23.977	652
24.003	542	24.027	654
24.053	536	24.078	651
24.104	528	24.129	643
24.154	517	24.180	631
24.205	506	24.230	613
24.256	492	24.281	593
24.307	479	24.331	571
24.357	467	24.383	549
24.408	455	24.433	526
24.458	445	24.484	505
24.510	436	24.534	485
24.560	431	24.585	470
24.611	428	24.636	459
24.661	427	24.687	452
24.712	430	24.737	452
24.763	436	24.788	455
24.814	444	24.838	465
24.864	453	24.889	478
24.915	465	24.940	495
24.965	478	24.991	515
25.016	490	25.041	537
25.067	503	25.092	559
25.118	513	25.142	581
25.168	524	25.194	601
25.219	532	25.244	619
25.269	538	25.295	634
25.321	541	25.345	644
25.371	540	25.396	649
25.422	538	25.447	650
25.472	532	25.498	647
25.523	525	25.549	636
25.574	515	25.599	624
25.625	504	25.650	606
25.675	492	25.700	587
25.726	480	25.752	565
25.776	468	25.802	543
25.827	457	25.853	521
25.878	447	25.903	502
25.929	440	25.954	484
25.979	434	26.005	471
26.030	431	26.056	461
26.080	432	26.106	456
26.132	434	26.157	456
26.182	439	26.207	462
26.233	446	26.259	471
26.283	456	26.309	485
26.334	465	26.360	502
26.385	477	26.410	521
26.436	489	26.461	543
26.486	502	26.511	564
26.537	512	26.563	586
26.587	521	26.613	605
26.638	529	26.664	621
26.689	534	26.714	634
26.740	536	26.765	642
26.790	536	26.816	645
26.841	535	26.867	645
26.891	529	26.917	640
26.943	523	26.968	629
26.993	514	27.018	616
27.044	503	27.070	598
27.094	492	27.120	580
27.145	480	27.171	559
27.196	470	27.221	538
27.247	459	27.272	517
27.297	450	27.323	499
27.348	443	27.374	484
27.398	438	27.424	471
27.449	435	27.475	464
27.500	435	27.525	461
27.551	436	27.576	462
27.601	442	27.627	467
27.652	448	27.678	478
27.702	457	27.728	492
27.754	467	27.779	509
27.804	477	27.829	529
27.855	488	27.881	549
27.905	499	27.931	570
27.956	510	27.982	588
28.007	518	28.032	606
28.058	525	28.083	623
28.108	530	28.134	631
28.159	534	28.185	639
28.209	533	28.235	641
28.260	531	28.286	639
28.311	527	28.336	633
28.362	520	28.387	623
28.412	512	28.438	609
28.463	503	28.489	591
28.513	492	28.539	573
28.565	481	28.590	553
28.615	471	28.640	534
28.666	461	28.692	515
28.716	452	28.742	497
28.767	445	28.793	483
28.818	441	28.843	474
28.869	437	28.894	467
28.919	438	28.945	465
28.970	439	28.996	468
29.020	443	29.046	474
29.071	449	29.097	485
29.122	457	29.147	499
29.173	466	29.198	516
29.223	477	29.249	535
29.274	488	29.300	555
29.324	497	29.350	573
29.376	507	29.401	591
29.426	515	29.451	608
29.477	523	29.503	619
29.527	527	29.553	630
29.578	530	29.604	635
29.629	531	29.654	636
29.680	528	29.705	633
29.730	524	29.756	626
29.781	518	29.807	615
29.831	512	29.857	601
29.883	501	29.908	585
29.933	492	29.958	566
29.984	481	30.009	547
30.034	472	30.060	530
30.085	462	30.111	512
30.135	454	30.161	497
30.187	447	30.212	485
30.237	443	30.262	476
30.288	441	30.314	471
30.338	440	30.364	470
30.389	441	30.415	474
30.440	445	30.465	481
30.491	450	30.516	493
30.541	458	30.567	507
30.592	467	30.618	523
30.642	477	30.668	541
30.694	487	30.719	558
30.744	496	30.769	577
30.795	505	30.820	592
30.845	513	30.871	608
30.896	521	30.922	618
30.946	525	30.972	627
30.998	528	31.023	630
31.048	529	31.073	631
31.099	527	31.125	626
31.149	523	31.175	618
31.200	517	31.226	608
31.251	510	31.276	594
31.302	501	31.327	579
31.352	492	31.378	561
31.403	482	31.429	544
31.453	473	31.479	527
31.505	464	31.530	512
31.555	455	31.580	498
31.606	449	31.631	487
31.656	444	31.682	479
31.707	442	31.733	476
31.757	440	31.783	477
31.809	443	31.834	481
31.859	446	31.884	488
31.910	452	31.936	500
31.960	459	31.986	514
32.011	467	32.037	530
32.062	476	32.087	546
32.113	486	32.138	562
32.163	495	32.189	580
32.214	504	32.240	594
32.264	512	32.290	607
32.316	519	32.341	616
32.366	523	32.391	623
32.417	527	32.443	625
32.467	527	32.493	624
32.518	525	32.544	619
32.568	522	32.594	612
32.620	516	32.645	600
32.670	509	32.695	587
32.721	501	32.747	573
32.771	492	32.797	557
32.822	482	32.848	541
32.873	473	32.898	524
32.924	464	32.949	511
32.974	457	33.000	499
33.025	450	33.051	490
33.075	445	33.101	484
33.127	443	33.152	482
33.177	442	33.202	483
33.228	444	33.254	489
33.278	447	33.304	496
33.329	452	33.355	507
33.379	459	33.405	521
33.431	467	33.456	534
33.481	476	33.506	551
33.532	485	33.558	565
33.582	495	33.608	581
33.633	502	33.659	593
33.684	510	33.709	604
33.735	517	33.760	612
33.785	522	33.811	618
33.836	525	33.862	619
33.886	525	33.912	617
33.938	524	33.963	613
33.988	521	34.013	605
34.039	515	34.065	594
34.089	508	34.115	582
34.140	500	34.166	567
34.190	492	34.216	553
34.242	482	34.267	538
34.292	473	34.317	524
34.343	464	34.369	512
34.393	456	34.419	501
34.444	451	34.470	494
34.495	447	34.520	489
34.546	444	34.571	488
34.596	443	34.622	490
34.647	444	34.673	496
34.697	448	34.723	503
34.749	453	34.774	513
34.799	459	34.824	526
34.850	467	34.876	540
34.900	476	34.926	554
34.951	485	34.977	568
35.001	494	35.027	581
35.053	502	35.078	592
35.104	510	35.128	602
35.154	516	35.180	608
35.205	521	35.230	612
35.255	524	35.281	613
35.307	524	35.331	611
35.357	522	35.382	606
35.408	519	35.433	598
35.458	513	35.484	587
35.509	508	35.534	577
35.560	500	35.585	563
35.611	490	35.635	550
35.661	482	35.687	537
35.712	473	35.737	524
35.762	464	35.788	514
35.814	456	35.838	505
35.864	450	35.889	499
35.915	446	35.939	495
35.965	444	35.991	495
36.016	443	36.041	496
36.066	445	36.092	502
36.118	448	36.142	510
36.168	454	36.193	520
36.219	460	36.244	532
36.269	468	36.295	544
36.320	476	36.345	556
