#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 10:31:07 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.204	273	13.230	816
13.255	284	13.280	799
13.306	304	13.331	770
13.357	335	13.381	731
13.407	371	13.433	685
13.458	414	13.483	633
13.508	459	13.534	578
13.560	504	13.584	522
13.610	548	13.635	470
13.661	588	13.686	423
13.711	621	13.737	384
13.762	646	13.788	358
13.812	662	13.838	343
13.864	666	13.889	343
13.914	660	13.939	355
13.965	645	13.991	378
14.015	619	14.041	413
14.066	586	14.092	457
14.117	548	14.142	507
14.168	505	14.193	560
14.218	460	14.244	616
14.269	415	14.295	669
14.319	373	14.345	717
14.371	336	14.396	758
14.421	307	14.446	788
14.472	285	14.498	809
14.522	275	14.548	816
14.573	277	14.599	811
14.624	288	14.649	796
14.675	308	14.700	769
14.725	336	14.750	733
14.776	371	14.802	687
14.826	412	14.852	636
14.877	457	14.903	582
14.928	502	14.953	528
14.979	544	15.004	478
15.029	583	15.055	432
15.080	617	15.106	394
15.130	641	15.156	366
15.182	657	15.207	350
15.232	662	15.257	348
15.283	657	15.309	358
15.333	643	15.359	380
15.384	620	15.410	412
15.435	588	15.460	454
15.486	550	15.511	502
15.536	507	15.561	555
15.587	463	15.613	608
15.637	419	15.663	661
15.688	377	15.714	709
15.739	340	15.764	749
15.790	310	15.815	782
15.840	288	15.866	803
15.891	277	15.917	812
15.941	278	15.967	807
15.993	288	16.018	794
16.043	307	16.068	769
16.094	335	16.120	735
16.144	369	16.170	691
16.195	410	16.221	641
16.246	454	16.271	588
16.297	498	16.322	534
16.347	541	16.372	484
16.398	580	16.424	439
16.448	613	16.474	400
16.499	638	16.525	372
16.550	654	16.575	355
16.601	660	16.626	352
16.651	655	16.677	360
16.702	642	16.728	380
16.752	619	16.778	411
16.804	588	16.829	453
16.854	551	16.879	499
16.905	508	16.931	550
16.955	465	16.981	603
17.006	421	17.032	654
17.057	379	17.082	702
17.108	343	17.133	743
17.158	313	17.184	775
17.209	291	17.235	797
17.259	279	17.285	806
17.310	280	17.336	804
17.361	289	17.386	792
17.412	307	17.437	768
17.463	334	17.488	735
17.513	368	17.539	693
17.564	408	17.589	645
17.615	451	17.640	593
17.666	495	17.690	541
17.716	537	17.742	492
17.767	575	17.792	446
17.817	609	17.843	408
17.869	635	17.893	379
17.919	651	17.944	362
17.970	657	17.995	357
18.020	653	18.046	364
18.071	641	18.096	383
18.121	619	18.147	412
18.173	589	18.197	451
18.223	552	18.248	496
18.274	511	18.299	545
18.324	468	18.350	597
18.375	424	18.400	648
18.426	383	18.451	695
18.477	346	18.501	736
18.527	316	18.553	768
18.578	293	18.603	791
18.628	281	18.654	802
18.680	282	18.704	800
18.730	290	18.755	789
18.781	307	18.806	767
18.831	333	18.857	735
18.882	366	18.907	695
18.932	405	18.958	649
18.984	448	19.008	598
19.034	491	19.059	547
19.085	534	19.110	498
19.135	572	19.161	453
19.186	606	19.211	415
19.237	631	19.262	386
19.288	649	19.312	367
19.338	655	19.364	362
19.389	653	19.414	368
19.439	640	19.465	384
19.491	619	19.515	413
19.541	590	19.566	451
19.592	554	19.617	493
19.642	513	19.668	543
19.693	470	19.718	593
19.744	427	19.769	642
19.795	386	19.819	688
19.845	350	19.870	729
19.896	319	19.921	762
19.946	296	19.972	785
19.997	283	20.022	796
20.048	282	20.073	796
20.099	290	20.123	786
20.149	307	20.175	765
20.200	332	20.225	735
20.250	364	20.276	697
20.302	403	20.326	651
20.352	445	20.377	603
20.403	487	20.428	551
20.453	530	20.479	504
20.504	568	20.530	460
20.555	601	20.580	422
20.606	627	20.631	392
20.656	646	20.681	374
20.707	653	20.733	367
20.757	651	20.783	372
20.808	640	20.834	388
20.859	619	20.884	414
20.910	590	20.935	449
20.960	555	20.986	491
21.011	515	21.037	539
21.061	473	21.087	587
21.113	430	21.138	636
21.163	389	21.188	683
21.214	352	21.240	723
21.264	322	21.290	756
21.315	298	21.341	779
21.366	285	21.391	791
21.417	283	21.442	792
21.467	290	21.492	783
21.518	305	21.544	764
21.568	330	21.594	734
21.619	361	21.645	697
21.670	399	21.695	654
21.721	441	21.746	607
21.771	484	21.797	557
21.822	525	21.848	509
21.872	564	21.898	466
21.924	598	21.949	428
21.974	624	21.999	399
22.025	642	22.051	380
22.075	651	22.101	372
22.126	649	22.152	376
22.177	639	22.202	390
22.228	619	22.253	415
22.278	591	22.304	450
22.329	557	22.355	490
22.379	517	22.405	536
22.430	475	22.456	585
22.481	433	22.506	632
22.532	391	22.557	677
22.582	354	22.608	717
22.633	323	22.659	750
22.683	300	22.709	773
22.735	286	22.760	786
22.785	283	22.810	787
22.836	289	22.862	779
22.886	304	22.912	762
22.937	328	22.963	734
22.988	358	23.013	698
23.039	396	23.064	655
23.089	437	23.115	609
23.140	479	23.166	561
23.190	521	23.216	514
23.241	560	23.267	471
23.292	594	23.317	434
23.343	621	23.368	405
23.393	640	23.419	385
23.444	648	23.470	377
23.494	647	23.520	380
23.546	638	23.571	393
23.596	619	23.621	417
23.647	591	23.673	450
23.697	558	23.723	489
23.748	519	23.774	534
23.799	477	23.824	581
23.850	435	23.875	628
23.900	394	23.926	672
23.951	357	23.977	712
24.001	326	24.027	745
24.052	301	24.078	768
24.103	286	24.128	781
24.154	283	24.179	783
24.204	288	24.230	776
24.255	303	24.281	759
24.305	325	24.331	733
24.357	355	24.382	699
24.407	391	24.432	657
24.458	432	24.484	611
24.508	474	24.534	565
24.559	515	24.585	519
24.610	554	24.635	476
24.661	589	24.686	440
24.711	616	24.737	410
24.762	636	24.788	390
24.812	645	24.838	382
24.864	645	24.889	384
24.914	637	24.939	396
24.965	619	24.990	419
25.015	592	25.041	451
25.066	559	25.092	489
25.116	522	25.142	532
25.168	479	25.193	577
25.218	438	25.243	624
25.269	397	25.295	667
25.319	360	25.345	707
25.370	328	25.396	739
25.421	303	25.446	763
25.472	288	25.497	776
25.522	283	25.548	778
25.573	288	25.599	772
25.623	301	25.649	756
25.675	323	25.700	731
25.725	352	25.750	697
25.776	388	25.801	658
25.826	428	25.852	614
25.877	469	25.903	568
25.927	511	25.953	523
25.979	549	26.004	481
26.029	584	26.054	445
26.080	612	26.106	415
26.130	632	26.156	396
26.181	642	26.207	387
26.232	643	26.257	388
26.283	636	26.308	399
26.333	619	26.359	420
26.384	593	26.410	452
26.434	561	26.460	488
26.486	524	26.511	531
26.536	483	26.561	575
26.587	441	26.612	620
26.637	401	26.663	663
26.688	364	26.714	702
26.738	332	26.764	734
26.790	306	26.815	758
26.840	290	26.865	772
26.891	285	26.917	775
26.941	288	26.967	769
26.992	300	27.018	754
27.043	322	27.068	730
27.094	350	27.119	697
27.144	385	27.170	659
27.195	424	27.221	616
27.245	466	27.271	571
27.297	506	27.322	527
27.347	546	27.372	485
27.398	579	27.424	449
27.448	608	27.474	420
27.499	628	27.525	400
27.549	640	27.575	391
27.601	641	27.626	392
27.651	634	27.676	402
27.702	619	27.728	423
27.752	594	27.778	452
27.803	563	27.829	488
27.854	526	27.879	529
27.905	486	27.930	573
27.955	446	27.981	617
28.006	405	28.032	659
28.056	367	28.082	697
28.108	335	28.133	729
28.158	310	28.183	753
28.209	293	28.235	766
28.259	287	28.285	771
28.310	290	28.336	766
28.360	301	28.386	752
28.412	321	28.437	728
28.462	348	28.487	696
28.513	382	28.539	659
28.563	421	28.589	617
28.614	462	28.640	573
28.665	501	28.690	530
28.716	541	28.741	489
28.766	575	28.792	453
28.817	603	28.843	425
28.867	625	28.893	404
28.919	637	28.944	395
28.969	639	28.994	395
29.020	633	29.046	404
29.070	619	29.096	425
29.121	595	29.147	453
29.171	565	29.197	488
29.223	529	29.248	528
29.273	489	29.298	570
29.324	449	29.350	614
29.374	409	29.400	655
29.425	371	29.451	693
29.477	340	29.501	725
29.527	314	29.552	749
29.578	296	29.603	763
29.628	289	29.654	767
29.679	291	29.704	763
29.730	301	29.755	750
29.781	321	29.805	726
29.831	346	29.857	696
29.882	379	29.907	659
29.932	418	29.958	618
29.984	458	30.008	575
30.034	497	30.059	533
30.085	536	30.109	492
30.135	571	30.161	457
30.186	600	30.211	428
30.236	621	30.262	409
30.288	634	30.312	398
30.338	637	30.363	398
30.389	632	30.414	407
30.439	618	30.465	426
30.490	596	30.515	453
30.541	566	30.566	487
30.592	532	30.616	527
30.642	493	30.668	569
30.693	453	30.718	611
30.743	414	30.769	652
30.795	376	30.819	689
30.845	344	30.870	721
30.896	318	30.920	745
30.946	300	30.972	760
30.997	292	31.022	764
31.047	293	31.073	760
31.099	302	31.123	747
31.149	321	31.174	725
31.200	346	31.225	695
31.250	378	31.276	659
31.301	415	31.326	619
31.352	454	31.377	577
31.403	493	31.427	535
31.453	532	31.479	495
31.504	566	31.529	460
31.554	595	31.580	432
31.606	617	31.630	412
31.656	631	31.681	401
31.707	635	31.731	400
31.757	630	31.783	409
31.808	618	31.833	428
31.858	596	31.884	454
31.910	568	31.934	487
31.960	534	31.985	526
32.011	496	32.036	567
32.061	457	32.087	609
32.112	418	32.137	649
32.163	381	32.188	687
32.214	349	32.238	718
32.264	322	32.290	742
32.315	303	32.340	756
32.365	294	32.391	761
32.417	295	32.441	758
32.467	303	32.492	745
32.518	321	32.542	724
32.568	345	32.594	694
32.619	376	32.645	659
32.669	412	32.695	620
32.721	451	32.746	578
32.771	489	32.796	537
32.822	527	32.848	498
32.872	562	32.898	463
32.923	591	32.949	435
32.974	613	32.999	415
33.025	627	33.050	404
33.075	632	33.101	403
33.126	628	33.152	411
33.176	618	33.202	429
33.228	597	33.253	455
33.278	569	33.303	487
33.329	536	33.355	525
33.379	499	33.405	566
33.430	461	33.456	607
33.480	422	33.506	647
33.532	386	33.557	684
33.582	353	33.607	714
33.633	326	33.659	738
33.683	307	33.709	753
33.734	298	33.760	758
33.785	298	33.810	755
33.836	305	33.861	742
33.886	321	33.912	722
33.937	345	33.963	694
33.987	374	34.013	659
34.039	409	34.064	621
34.089	447	34.114	580
34.140	486	34.166	539
34.190	523	34.216	500
34.241	557	34.267	467
34.291	586	34.317	438
34.343	609	34.368	418
34.393	624	34.418	408
34.444	629	34.470	407
34.494	627	34.520	414
34.545	616	34.571	430
34.596	596	34.621	455
34.647	570	34.672	487
34.697	538	34.723	524
34.748	502	34.774	564
34.798	465	34.824	605
34.850	426	34.875	644
34.900	390	34.925	680
34.951	358	34.977	711
35.001	331	35.027	735
35.052	312	35.078	750
35.102	301	35.128	755
35.154	300	35.179	753
35.204	306	35.229	741
35.255	322	35.281	721
35.305	344	35.331	693
35.356	373	35.382	659
35.407	407	35.432	622
35.458	445	35.483	581
35.508	482	35.534	542
35.559	519	35.585	503
35.609	553	35.635	469
35.661	582	35.686	441
35.711	605	35.736	420
35.762	620	35.788	410
35.812	626	35.838	407
35.863	624	35.889	415
35.913	614	35.939	431
35.965	596	35.990	456
36.015	571	36.040	487
36.066	539	36.092	523
36.116	504	36.142	562
36.167	467	36.193	604
36.218	430	36.243	642
36.269	394	36.294	678
36.320	362	36.345	708
36.370	336	36.396	732
36.421	316	36.446	747
36.472	304	36.497	752
36.523	303	36.547	751
36.573	309	36.599	740
36.624	323	36.649	720
36.674	344	36.700	693
36.726	372	36.750	660
36.776	405	36.801	623
36.827	441	36.851	582
36.877	478	36.903	543
36.928	514	36.953	505
36.978	548	37.004	472
37.030	577	37.054	444
37.080	600	37.105	423
37.131	616	37.156	412
37.181	623	37.207	410
37.232	622	37.257	416
37.283	613	37.308	433
37.334	595	37.358	456
37.384	571	37.410	487
37.435	542	37.460	523
37.485	507	37.511	561
