#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 10:31:07 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	716	0.051	851
0.076	717	0.102	852
0.127	717	0.153	851
0.177	717	0.203	851
0.229	717	0.254	851
0.279	717	0.304	851
0.330	716	0.356	851
0.380	715	0.406	851
0.431	714	0.457	851
0.481	714	0.507	852
0.533	715	0.558	853
0.583	715	0.608	855
0.634	716	0.660	857
0.684	718	0.710	857
0.735	718	0.761	858
0.786	720	0.811	859
0.837	721	0.862	860
0.888	721	0.913	861
0.938	718	0.964	859
0.989	715	1.014	858
1.040	714	1.065	857
1.091	712	1.115	856
1.141	711	1.167	856
1.192	711	1.217	855
1.242	710	1.268	855
1.294	709	1.318	853
1.344	710	1.369	851
1.395	711	1.419	850
1.445	712	1.471	851
1.496	712	1.521	851
1.546	712	1.572	853
1.598	712	1.622	851
1.648	711	1.673	845
1.699	699	1.724	828
1.749	676	1.775	801
1.800	641	1.825	764
1.851	598	1.876	720
1.902	548	1.926	670
1.952	492	1.978	616
2.003	437	2.028	564
2.053	381	2.079	513
2.105	330	2.129	466
2.155	285	2.180	427
2.206	247	2.230	397
2.256	217	2.282	378
2.307	194	2.332	373
2.357	200	2.383	379
2.409	223	2.433	396
2.459	248	2.484	424
2.510	284	2.535	461
2.560	329	2.586	505
2.611	379	2.636	555
2.662	435	2.687	607
2.713	491	2.737	660
2.763	545	2.789	710
2.814	595	2.839	754
2.864	637	2.890	791
2.916	671	2.940	820
2.966	694	2.991	838
3.017	706	3.041	844
3.067	703	3.093	838
3.118	689	3.143	824
3.168	665	3.194	798
3.220	629	3.244	762
3.270	586	3.295	719
3.321	534	3.346	670
3.371	479	3.397	619
3.422	424	3.447	567
3.473	369	3.498	517
3.524	320	3.548	471
3.574	276	3.600	433
3.625	240	3.650	403
3.675	210	3.701	382
3.727	191	3.751	376
3.777	202	3.802	382
3.828	223	3.853	397
3.878	250	3.904	424
3.929	286	3.955	460
3.979	332	4.005	503
4.031	383	4.056	552
4.081	438	4.106	603
4.132	493	4.158	656
4.182	547	4.208	705
4.233	595	4.259	750
4.284	637	4.309	788
4.335	669	4.360	817
4.385	691	4.411	836
4.436	701	4.462	842
4.486	696	4.512	837
4.538	681	4.563	823
4.588	655	4.613	798
4.639	620	4.665	763
4.689	574	4.715	721
