#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 09:21:45 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.206	626	13.231	503
13.257	626	13.282	502
13.307	618	13.333	502
13.358	604	13.383	503
13.409	585	13.434	503
13.460	560	13.484	503
13.510	533	13.536	502
13.561	503	13.586	503
13.611	473	13.637	502
13.663	444	13.687	502
13.713	417	13.738	502
13.764	393	13.789	502
13.814	374	13.840	502
13.865	363	13.890	503
13.916	358	13.941	502
13.967	358	13.991	502
14.017	365	14.042	503
14.068	379	14.093	502
14.118	399	14.144	503
14.169	423	14.194	502
14.220	450	14.245	502
14.271	479	14.295	502
14.321	510	14.347	503
14.372	540	14.397	502
14.422	566	14.448	502
14.474	590	14.498	502
14.524	608	14.549	503
14.575	619	14.600	502
14.625	624	14.651	502
14.676	624	14.702	503
14.727	616	14.752	502
14.778	601	14.803	502
14.828	582	14.853	502
14.879	557	14.905	503
14.929	530	14.955	502
14.980	501	15.006	502
15.031	471	15.056	502
15.082	442	15.107	502
15.132	416	15.158	502
15.183	393	15.209	502
15.233	376	15.259	502
15.285	365	15.310	502
15.335	359	15.360	502
15.386	361	15.412	502
15.436	368	15.462	502
15.487	384	15.513	502
15.538	403	15.563	502
15.589	427	15.614	502
15.639	454	15.664	503
15.690	484	15.716	502
15.740	512	15.766	502
15.791	542	15.817	502
15.842	568	15.867	502
15.893	591	15.918	502
15.943	608	15.969	502
15.994	618	16.020	503
16.044	623	16.070	502
16.096	622	16.121	502
16.146	613	16.171	503
16.197	598	16.223	503
16.247	579	16.273	503
16.298	554	16.324	502
16.349	527	16.374	502
16.400	498	16.425	503
16.450	469	16.476	502
16.501	441	16.527	502
16.551	415	16.577	502
16.602	393	16.628	502
16.653	376	16.678	502
16.704	367	16.729	503
16.754	362	16.780	502
16.805	364	16.831	503
16.855	373	16.881	502
16.907	387	16.932	502
16.957	407	16.982	503
17.008	432	17.034	502
17.058	458	17.084	502
17.109	487	17.135	502
17.160	516	17.185	503
17.211	544	17.236	502
17.261	570	17.287	502
17.312	592	17.338	502
17.362	608	17.388	503
17.413	618	17.439	502
17.464	622	17.489	502
17.515	619	17.540	503
17.565	611	17.591	502
17.616	595	17.642	503
17.666	575	17.692	502
17.718	551	17.743	503
17.768	525	17.793	502
17.819	495	17.845	502
17.869	466	17.895	502
17.920	439	17.946	503
17.971	415	17.996	502
18.022	393	18.047	502
18.072	377	18.098	502
18.123	368	18.149	503
18.173	364	18.199	502
18.224	367	18.250	502
18.275	376	18.300	502
18.326	391	18.351	502
18.376	411	18.402	503
18.427	435	18.453	502
18.477	462	18.503	502
18.529	491	18.554	502
18.579	519	18.604	502
18.630	546	18.656	502
18.680	571	18.706	503
18.731	592	18.757	502
18.782	608	18.807	502
18.833	617	18.858	503
18.883	621	18.909	503
18.934	617	18.960	502
18.984	608	19.010	502
19.036	592	19.061	502
19.086	573	19.111	502
19.137	548	19.162	503
19.187	522	19.213	502
19.238	492	19.264	502
19.288	465	19.314	502
19.340	438	19.365	502
19.390	413	19.415	502
19.441	394	19.467	502
19.491	379	19.517	502
19.542	370	19.568	502
19.593	367	19.618	503
19.644	371	19.669	502
19.694	380	19.720	502
19.745	395	19.771	502
19.795	416	19.821	502
19.847	439	19.872	502
19.897	466	19.922	502
19.948	494	19.973	502
19.998	522	20.024	502
20.049	549	20.075	502
20.099	573	20.125	503
20.151	593	20.176	502
20.201	608	20.226	503
20.252	616	20.278	503
20.302	619	20.328	502
20.353	615	20.379	502
