#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 10:31:07 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.205	494	13.230	552
13.256	472	13.280	552
13.306	451	13.332	553
13.357	434	13.382	552
13.407	418	13.433	553
13.459	408	13.483	552
13.509	401	13.534	552
13.560	400	13.585	552
13.610	403	13.636	552
13.661	411	13.686	553
13.711	422	13.737	552
13.763	437	13.787	552
13.813	456	13.838	552
13.864	476	13.889	552
13.914	498	13.940	552
13.965	519	13.990	553
14.016	539	14.041	553
14.067	557	14.091	552
14.117	572	14.143	552
14.168	582	14.193	552
14.218	589	14.244	552
14.270	591	14.294	553
14.320	588	14.345	552
14.371	581	14.396	552
14.421	569	14.447	553
14.472	553	14.497	553
14.522	535	14.548	553
14.574	515	14.598	552
14.624	494	14.649	552
14.675	473	14.700	551
14.725	453	14.751	552
14.776	436	14.801	552
14.827	422	14.852	552
14.878	412	14.902	552
14.928	406	14.954	552
14.979	404	15.004	552
15.029	407	15.055	552
15.081	415	15.105	552
15.131	427	15.156	552
15.182	442	15.207	552
15.232	459	15.258	552
15.283	479	15.309	552
15.333	499	15.359	552
15.385	519	15.410	552
15.435	538	15.460	553
15.486	555	15.512	552
15.536	569	15.562	553
15.587	579	15.613	552
15.638	585	15.663	553
15.689	586	15.714	552
15.739	584	15.765	553
15.790	577	15.816	553
15.840	565	15.866	553
15.892	550	15.917	553
15.942	534	15.967	552
15.993	514	16.019	553
16.043	494	16.069	552
16.094	474	16.120	553
16.145	455	16.170	552
16.196	439	16.221	552
16.246	425	16.271	553
16.297	416	16.323	552
16.347	410	16.373	553
16.398	408	16.424	552
16.449	412	16.474	552
16.500	419	16.525	552
16.550	430	16.576	552
16.601	443	16.627	552
16.651	461	16.677	552
16.703	479	16.728	552
16.753	499	16.778	552
16.804	518	16.830	553
16.854	536	16.880	552
16.905	553	16.931	553
16.956	566	16.981	553
17.007	575	17.032	552
17.057	581	17.082	553
17.108	582	17.134	553
17.158	579	17.184	553
17.209	573	17.235	553
17.260	562	17.285	553
17.311	548	17.336	553
17.361	530	17.387	552
17.412	513	17.438	552
17.462	493	17.488	553
17.514	473	17.539	552
17.564	456	17.589	553
17.615	441	17.641	553
17.665	428	17.691	552
17.716	419	17.742	553
17.767	413	17.792	551
17.818	412	17.843	552
17.868	415	17.893	552
17.919	422	17.945	552
17.969	432	17.995	552
18.020	446	18.046	552
18.071	462	18.096	552
18.122	480	18.147	552
18.172	499	18.198	552
18.223	517	18.249	553
18.273	535	18.299	553
18.325	551	18.350	553
18.375	563	18.400	552
18.426	572	18.452	551
18.476	577	18.502	552
18.527	578	18.553	552
18.578	575	18.603	553
18.629	569	18.654	553
18.679	558	18.705	553
18.730	545	18.756	552
18.780	528	18.806	552
18.831	511	18.857	552
18.882	492	18.907	553
18.933	474	18.958	552
18.984	457	19.009	552
19.034	442	19.060	552
19.085	430	19.110	552
19.136	421	19.161	553
19.187	417	19.211	552
19.237	416	19.263	552
19.288	417	19.313	552
19.338	425	19.364	552
19.390	436	19.414	552
19.440	449	19.465	552
19.491	464	19.516	552
19.541	481	19.567	552
19.592	499	19.617	552
19.642	517	19.668	552
19.694	534	19.718	552
19.744	549	19.769	552
19.795	560	19.820	552
19.845	569	19.871	553
19.896	574	19.921	553
19.947	575	19.972	552
19.998	573	20.022	553
20.048	565	20.074	553
20.099	556	20.124	553
20.149	542	20.175	553
20.201	527	20.225	552
20.251	510	20.276	553
20.302	491	20.327	552
20.352	475	20.378	552
20.403	458	20.428	552
20.453	444	20.479	553
20.505	432	20.529	552
20.555	424	20.580	553
20.606	420	20.631	552
20.656	419	20.682	552
20.707	422	20.732	552
20.758	429	20.783	552
20.809	438	20.833	552
20.859	451	20.885	552
20.910	467	20.935	552
20.960	483	20.986	552
21.012	500	21.036	552
21.062	517	21.087	552
21.113	533	21.138	552
21.163	547	21.189	552
21.214	558	21.239	553
21.265	566	21.290	552
21.316	571	21.340	552
21.366	572	21.391	553
21.417	569	21.442	552
21.467	563	21.493	553
21.518	552	21.543	552
21.569	540	21.594	553
21.620	525	21.644	552
21.670	508	21.696	552
21.721	491	21.746	552
21.771	475	21.797	552
21.823	459	21.847	552
21.873	446	21.898	552
21.924	435	21.949	552
21.974	427	22.000	553
22.025	423	22.051	552
22.076	422	22.101	552
22.127	426	22.152	552
22.177	432	22.202	552
22.228	442	22.254	552
22.278	454	22.304	551
22.329	468	22.355	552
22.380	484	22.405	552
22.431	501	22.456	552
22.481	517	22.507	553
22.532	532	22.558	551
22.582	545	22.608	553
22.634	556	22.659	553
22.684	564	22.709	553
22.735	568	22.761	552
22.785	569	22.811	553
22.836	566	22.862	552
22.887	559	22.912	552
22.938	550	22.963	552
22.988	538	23.013	553
23.039	523	23.065	553
23.089	507	23.115	552
23.140	492	23.166	552
23.191	476	23.216	552
23.242	461	23.267	552
23.292	448	23.318	553
23.343	438	23.369	551
23.393	430	23.419	552
23.445	426	23.470	551
23.495	425	23.520	553
23.546	429	23.572	552
23.596	435	23.622	552
23.647	445	23.673	552
23.698	457	23.723	552
23.749	470	23.774	552
23.799	485	23.825	553
23.850	501	23.876	553
23.900	517	23.926	553
23.951	531	23.977	552
24.002	544	24.027	552
24.053	554	24.078	553
24.103	561	24.129	553
24.154	565	24.180	552
24.204	566	24.230	552
24.256	563	24.281	552
24.306	557	24.331	552
24.357	547	24.383	552
24.407	536	24.433	552
24.458	521	24.484	552
24.509	506	24.534	552
24.560	490	24.585	552
24.610	476	24.636	552
24.661	462	24.687	552
24.711	450	24.737	553
24.762	440	24.788	552
24.813	433	24.838	551
24.864	429	24.889	552
24.914	429	24.940	552
24.965	432	24.991	552
25.015	438	25.041	552
25.067	448	25.092	552
25.117	459	25.142	552
25.168	472	25.194	552
25.218	487	25.244	552
25.269	502	25.295	552
25.320	517	25.345	552
25.371	531	25.396	552
25.421	543	25.447	552
25.472	553	25.498	553
25.522	559	25.548	553
25.573	563	25.599	553
25.624	563	25.649	553
25.675	560	25.700	553
25.725	554	25.751	553
25.776	545	25.802	552
25.826	534	25.852	552
25.878	520	25.903	552
25.928	505	25.953	552
25.979	491	26.005	551
26.029	476	26.055	552
26.080	463	26.106	552
26.131	451	26.156	552
26.182	442	26.207	552
26.232	436	26.258	551
26.283	433	26.309	552
26.333	432	26.359	552
26.385	435	26.410	552
26.435	442	26.460	552
26.486	450	26.511	552
26.536	462	26.562	552
26.587	474	26.613	552
26.637	487	26.663	552
26.689	502	26.714	551
26.739	517	26.764	552
26.790	530	26.816	553
26.840	542	26.866	553
26.891	551	26.917	553
26.942	557	26.967	552
26.993	561	27.018	552
27.043	561	27.069	553
27.094	558	27.120	553
27.144	552	27.170	552
27.196	543	27.221	552
27.246	532	27.271	552
27.297	519	27.322	552
27.347	505	27.373	552
27.398	491	27.424	552
27.448	477	27.474	551
27.500	464	27.525	551
27.550	453	27.575	552
27.601	444	27.627	551
27.651	439	27.677	552
27.702	435	27.728	552
27.753	435	27.778	552
27.804	438	27.829	552
27.854	444	27.880	552
27.905	453	27.931	552
27.955	463	27.981	552
28.007	476	28.032	552
28.057	489	28.082	552
28.108	503	28.133	552
28.158	517	28.184	553
28.209	530	28.235	552
28.259	541	28.285	553
28.311	549	28.336	552
28.361	555	28.386	552
28.412	558	28.438	552
28.462	558	28.488	552
28.513	555	28.539	552
28.564	549	28.589	552
28.615	540	28.640	552
28.665	530	28.691	552
28.716	518	28.742	552
28.766	504	28.792	552
28.818	490	28.843	552
28.868	477	28.893	552
28.919	465	28.945	552
28.969	455	28.995	552
29.020	447	29.046	551
29.070	441	29.096	552
29.122	438	29.147	552
29.172	438	29.197	552
29.223	441	29.249	552
29.273	448	29.299	552
29.324	455	29.350	552
29.375	466	29.400	552
