Source,CH1
Second,Volt
-2.25000000000,-0.47120,
-2.24989975000,-0.47616,
-2.24980000000,-0.46128,
-2.24969975000,-0.40672,
-2.24960000000,-0.39680,
-2.24950000000,-0.37200,
-2.24940000000,-0.32736,
-2.24930000000,-0.26784,
-2.24919975000,-0.22320,
-2.24910000000,-0.16368,
-2.24899975000,-0.10912,
-2.24890000000,-0.05456,
-2.24880000000,0.00,
-2.24870000000,0.06944,
-2.24860000000,0.12400,
-2.24849975000,0.15872,
-2.24840000000,0.22816,
-2.24829975000,0.29264,
-2.24820000000,0.33232,
-2.24810000000,0.36704,
-2.24800000000,0.39184,
-2.24790000000,0.39680,
-2.24779975000,0.43152,
-2.24770000000,0.45632,
-2.24759975000,0.46128,
-2.24750000000,0.45632,
-2.24740000000,0.47120,
-2.24730000000,0.45632,
-2.24720000000,0.41168,
-2.24710000000,0.38192,
-2.24700000000,0.37200,
-2.24689975000,0.30752,
-2.24680000000,0.26288,
-2.24670000000,0.22816,
-2.24660000000,0.14880,
-2.24650000000,0.08432,
-2.24640000000,0.03968,
-2.24630000000,-0.02480,
-2.24619975000,-0.10912,
-2.24610000000,-0.16368,
-2.24600000000,-0.22320,
-2.24590000000,-0.29264,
-2.24580000000,-0.35712,
-2.24570000000,-0.38688,
-2.24560000000,-0.43648,
-2.24549975000,-0.47120,
-2.24540000000,-0.47120,
-2.24530000000,-0.48608,
-2.24520000000,-0.48608,
-2.24510000000,-0.47120,
-2.24500000000,-0.43152,
-2.24490000000,-0.43152,
-2.24479975000,-0.38688,
-2.24470000000,-0.34224,
-2.24460000000,-0.29264,
-2.24450000000,-0.26784,
-2.24440000000,-0.19840,
-2.24430000000,-0.13888,
-2.24420000000,-0.08432,
-2.24409975000,-0.03472,
-2.24400000000,0.03968,
-2.24390000000,0.07936,
-2.24380000000,0.14384,
-2.24370000000,0.22320,
-2.24360000000,0.26288,
-2.24350000000,0.27776,
-2.24339975000,0.34224,
-2.24330000000,0.39184,
-2.24319975000,0.39680,
-2.24310000000,0.43648,
-2.24300000000,0.44640,
-2.24290000000,0.45632,
-2.24280000000,0.47120,
-2.24269975000,0.47120,
-2.24260000000,0.44640,
-2.24249975000,0.41168,
-2.24240000000,0.42160,
-2.24230000000,0.37200,
-2.24220000000,0.32736,
-2.24210000000,0.29264,
-2.24199975000,0.26288,
-2.24190000000,0.18352,
-2.24179975000,0.13392,
-2.24170000000,0.07936,
-2.24160000000,0.00,
-2.24150000000,-0.06944,
-2.24140000000,-0.12400,
-2.24129975000,-0.17360,
-2.24120000000,-0.26288,
-2.24109975000,-0.30752,
-2.24100000000,-0.35712,
-2.24090000000,-0.40672,
-2.24080000000,-0.45136,
-2.24070000000,-0.47616,
-2.24059975000,-0.49104,
-2.24050000000,-0.49104,
-2.24039975000,-0.46128,
-2.24030000000,-0.45136,
-2.24020000000,-0.44640,
-2.24010000000,-0.40672,
-2.24000000000,-0.36704,
-2.23989975000,-0.33232,
-2.23980000000,-0.29264,
-2.23969975000,-0.22320,
-2.23960000000,-0.18352,
-2.23950000000,-0.11904,
-2.23940000000,-0.06944,
-2.23930000000,0.01488,
-2.23920000000,0.05456,
-2.23910000000,0.12400,
-2.23899975000,0.18352,
-2.23890000000,0.21328,
-2.23880000000,0.26288,
-2.23870000000,0.32736,
-2.23860000000,0.35712,
-2.23850000000,0.37200,
-2.23840000000,0.41168,
-2.23829975000,0.43648,
-2.23820000000,0.46128,
-2.23810000000,0.45632,
-2.23800000000,0.45632,
-2.23790000000,0.46128,
-2.23780000000,0.43648,
-2.23770000000,0.43152,
-2.23759975000,0.38192,
-2.23750000000,0.35712,
-2.23740000000,0.33232,
-2.23730000000,0.30256,
-2.23720000000,0.20832,
-2.23710000000,0.16368,
-2.23700000000,0.11904,
-2.23689975000,0.04464,
-2.23680000000,-0.03472,
-2.23670000000,-0.08432,
-2.23660000000,-0.17360,
-2.23650000000,-0.22816,
-2.23640000000,-0.28768,
-2.23630000000,-0.33232,
-2.23619975000,-0.42160,
-2.23610000000,-0.43648,
-2.23600000000,-0.47120,
-2.23590000000,-0.48608,
-2.23580000000,-0.48608,
-2.23570000000,-0.48608,
-2.23560000000,-0.47120,
-2.23549975000,-0.44640,
-2.23540000000,-0.42160,
-2.23529975000,-0.38192,
-2.23520000000,-0.37200,
-2.23510000000,-0.31744,
-2.23500000000,-0.24304,
-2.23490000000,-0.21328,
-2.23479975000,-0.15872,
-2.23470000000,-0.09424,
-2.23459975000,-0.03968,
-2.23450000000,0.01984,
-2.23440000000,0.09424,
-2.23430000000,0.14880,
-2.23420000000,0.18848,
-2.23409975000,0.22816,
-2.23400000000,0.30752,
-2.23389975000,0.32736,
-2.23380000000,0.35712,
-2.23370000000,0.39680,
-2.23360000000,0.44640,
-2.23350000000,0.43648,
-2.23339975000,0.46128,
-2.23330000000,0.46128,
-2.23319975000,0.45632,
-2.23310000000,0.47120,
-2.23300000000,0.43152,
-2.23290000000,0.40672,
-2.23280000000,0.37200,
-2.23269975000,0.35712,
-2.23260000000,0.31744,
