Source,CH1
Second,Volt
-0.90000000000,0.00400,
-0.89996000000,-0.00800,
-0.89992000000,0.00600,
-0.89988000000,0.02600,
-0.89984000000,0.02800,
-0.89980000000,0.01600,
-0.89975993750,0.03600,
-0.89971993750,0.07400,
-0.89967993750,0.04200,
-0.89963993750,0.04400,
-0.89960000000,0.07600,
-0.89956000000,0.07400,
-0.89952000000,0.06800,
-0.89948000000,0.08200,
-0.89944000000,0.09400,
-0.89940000000,0.08000,
-0.89936000000,0.08200,
-0.89932000000,0.10200,
-0.89927993750,0.10400,
-0.89923993750,0.10000,
-0.89919993750,0.11600,
-0.89915993750,0.14200,
-0.89912000000,0.12400,
-0.89908000000,0.13200,
-0.89904000000,0.14000,
-0.89900000000,0.14200,
-0.89896000000,0.12200,
-0.89892000000,0.12200,
-0.89888000000,0.13800,
-0.89883993750,0.12600,
-0.89879993750,0.11800,
-0.89875993750,0.14000,
-0.89871993750,0.14000,
-0.89868000000,0.12600,
-0.89864000000,0.12200,
-0.89860000000,0.13400,
-0.89856000000,0.12600,
-0.89852000000,0.10200,
-0.89848000000,0.11000,
-0.89844000000,0.11800,
-0.89839993750,0.09400,
-0.89835993750,0.09400,
-0.89831993750,0.10800,
-0.89827993750,0.09400,
-0.89824000000,0.08600,
-0.89820000000,0.08400,
-0.89816000000,0.09200,
-0.89812000000,0.07200,
-0.89808000000,0.05200,
-0.89804000000,0.05600,
-0.89800000000,0.05200,
-0.89795993750,0.02800,
-0.89791993750,0.02400,
-0.89787993750,0.03800,
-0.89783993750,0.02800,
-0.89779993750,0.00,
-0.89776000000,0.00800,
-0.89772000000,0.00600,
-0.89768000000,-0.02000,
-0.89764000000,-0.02800,
-0.89760000000,-0.01800,
-0.89756000000,-0.03000,
-0.89752000000,-0.05800,
-0.89747993750,-0.05400,
-0.89743993750,-0.04600,
-0.89739993750,-0.07400,
-0.89735993750,-0.08000,
-0.89732000000,-0.06600,
-0.89728000000,-0.07800,
-0.89724000000,-0.08600,
-0.89720000000,-0.09000,
-0.89716000000,-0.08600,
-0.89712000000,-0.11000,
-0.89708000000,-0.12000,
-0.89703993750,-0.11000,
-0.89699993750,-0.11400,
-0.89695993750,-0.13200,
-0.89691993750,-0.12400,
-0.89688000000,-0.11000,
-0.89684000000,-0.12400,
-0.89680000000,-0.13000,
-0.89676000000,-0.12200,
-0.89672000000,-0.11600,
-0.89668000000,-0.14200,
-0.89664000000,-0.14600,
-0.89659993750,-0.13400,
-0.89655993750,-0.13400,
-0.89651993750,-0.14600,
