Source,CH1,CH2
Second,Volt,Volt
-0.011862,-2.72,0.196
-0.01186,-2.8,0.2
-0.011858,-2.8,0.2
-0.011856,-2.8,0.2
-0.011854,-2.8,0.204
-0.011852,-2.8,0.196
-0.01185,-2.72,0.192
-0.011848,-2.8,0.188
-0.011846,-2.8,0.192
-0.011844,-2.8,0.196
-0.011842,-2.8,0.196
-0.01184,-2.8,0.196
-0.011838,-2.8,0.192
-0.011836,-2.88,0.184
-0.011834,-2.8,0.192
-0.011832,-2.88,0.188
-0.01183,-2.88,0.196
-0.011828,-2.8,0.196
-0.011826,-2.8,0.196
-0.011824,-2.88,0.196
-0.011822,-2.88,0.192
-0.01182,-2.88,0.192
-0.011818,-2.88,0.192
-0.011816,-2.88,0.196
-0.011814,-2.96,0.188
-0.011812,-2.88,0.192
-0.01181,-2.88,0.192
-0.011808,-2.88,0.192
-0.011806,-2.96,0.188
-0.011804,-2.96,0.188
-0.011802,-2.96,0.184
-0.0118,-2.96,0.184
-0.011798,-2.96,0.188
-0.011796,-2.96,0.184
-0.011794,-2.96,0.184
-0.011792,-2.96,0.196
-0.01179,-2.96,0.184
-0.011788,-2.96,0.184
-0.011786,-3.04,0.192
-0.011784,-2.96,0.188
-0.011782,-3.04,0.188
-0.01178,-2.96,0.184
-0.011778,-2.96,0.18
-0.011776,-2.96,0.184
-0.011774,-2.96,0.18
-0.011772,-3.04,0.18
-0.01177,-3.04,0.176
-0.011768,-3.04,0.12
-0.011766,-3.04,0.18
-0.011764,-2.96,0.176
-0.011762,-3.04,0.176
-0.01176,-3.04,0.18
-0.011758,-3.04,0.172
-0.011756,-3.04,0.176
-0.011754,-3.12,0.176
-0.011752,-3.12,0.176
-0.01175,-3.04,0.176
-0.011748,-3.12,0.176
-0.011746,-3.04,0.172
-0.011744,-3.04,0.172
-0.011742,-3.04,0.172
-0.01174,-3.12,0.172
-0.011738,-3.04,0.172
-0.011736,-3.12,0.172
-0.011734,-3.12,0.164
-0.011732,-3.12,0.168
-0.01173,-3.12,0.168
-0.011728,-3.12,0.168
-0.011726,-3.12,0.168
-0.011724,-3.12,0.168
-0.011722,-3.2,0.164
-0.01172,-3.12,0.172
-0.011718,-3.12,0.172
-0.011716,-3.12,0.172
-0.011714,-3.12,0.172
-0.011712,-3.12,0.18
-0.01171,-3.12,0.18
-0.011708,-3.2,0.168
-0.011706,-3.2,0.184
-0.011704,-3.12,0.176
-0.011702,-3.12,0.172
-0.0117,-3.12,0.168
-0.011698,-3.2,0.168
-0.011696,-3.2,0.168
-0.011694,-3.2,0.172
-0.011692,-3.2,0.168
-0.01169,-3.2,0.168
-0.011688,-3.2,0.168
-0.011686,-3.2,0.168
-0.011684,-3.2,0.164
-0.011682,-3.2,0.164
-0.01168,-3.2,0.168
-0.011678,-3.2,0.164
-0.011676,-3.2,0.168
-0.011674,-3.2,0.168
-0.011672,-3.2,0.168
-0.01167,-3.28,0.068
-0.011668,-3.2,0.164
-0.011666,-3.2,0.168
-0.011664,-3.2,0.164
-0.011662,-3.2,0.16
-0.01166,-3.28,0.168
-0.011658,-3.2,0.168
-0.011656,-3.2,0.16
-0.011654,-3.28,0.164
-0.011652,-3.28,0.16
-0.01165,-3.2,0.16
-0.011648,-3.28,0.164
-0.011646,-3.2,0.16
-0.011644,-3.28,0.16
-0.011642,-3.2,0.16
-0.01164,-3.28,0.168
-0.011638,-3.28,0.16
-0.011636,-3.28,0.164
-0.011634,-3.28,0.164
-0.011632,-3.28,0.16
-0.01163,-3.28,0.156
-0.011628,-3.28,0.16
-0.011626,-3.28,0.156
-0.011624,-3.36,0.152
-0.011622,-3.36,0.148
-0.01162,-3.28,0.152
