Source,CH1,CH2
Second,Volt,Volt
-0.11904,0.7776,-0.212
-0.11902,0.7776,-0.216
-0.119,0.864,-0.22
-0.11898,0.864,-0.216
-0.11896,0.864,-0.208
-0.11894,0.9504,-0.22
-0.11892,0.9504,-0.208
-0.1188999875,1.0368,-0.208
-0.11888,1.1232,-0.204
-0.11886,1.1232,-0.216
-0.11884,1.1232,-0.204
-0.11882,1.1232,-0.208
-0.1188,1.1664,-0.2
-0.11878,1.2528,-0.2
-0.11876,1.2528,-0.192
-0.11874,1.2528,-0.212
-0.11872,1.2528,-0.2
-0.1187,1.3392,-0.188
-0.11868,1.4256,-0.196
-0.11866,1.4256,-0.192
-0.11864,1.512,-0.184
-0.1186199875,1.4256,-0.188
-0.1186,1.512,-0.18
-0.11858,1.512,-0.184
-0.11856,1.5984,-0.176
-0.11854,1.5984,-0.172
-0.11852,1.6848,-0.168
-0.1185,1.6848,-0.172
-0.11848,1.728,-0.16
-0.11846,1.6848,-0.172
-0.11844,1.728,-0.156
-0.11842,1.8144,-0.164
-0.1184,1.8144,-0.164
-0.11838,1.9008,-0.156
-0.11836,1.8144,-0.152
-0.11834,1.9008,-0.148
-0.11832,1.9872,-0.144
-0.1183,1.9872,-0.156
-0.1182799875,1.9872,-0.144
-0.11826,2.0736,-0.14
-0.11824,2.0736,-0.136
-0.11822,2.16,-0.14
-0.1182,2.16,-0.132
-0.11818,2.16,-0.136
-0.11816,2.2032,-0.132
-0.11814,2.2032,-0.136
-0.11812,2.2896,-0.132
-0.1181,2.2032,-0.112
-0.11808,2.376,-0.08
-0.11806,2.376,-0.1
-0.11804,2.376,-0.112
-0.11802,2.376,-0.092
-0.118,2.4624,-0.108
-0.11798,2.4624,-0.1
-0.11796,2.4624,-0.124
-0.1179399875,2.5488,-0.108
-0.11792,2.5488,-0.104
-0.1179,2.6352,-0.112
-0.11788,2.6352,-0.08
-0.11786,2.6352,-0.112
-0.11784,2.7216,-0.136
-0.11782,2.7648,-0.08
-0.1178,2.7648,-0.072
-0.11778,2.7648,-0.064
-0.11776,2.8512,-0.068
-0.11774,2.8512,-0.052
-0.11772,2.9376,-0.056
-0.1177,2.9376,-0.052
-0.11768,2.9376,-0.044
-0.1176599875,2.9376,-0.048
-0.11764,3.024,-0.036
-0.11762,3.024,-0.032
-0.1176,3.1104,-0.032
-0.11758,3.1104,-0.032
-0.11756,3.1968,-0.028
-0.11754,3.1968,-0.02
-0.11752,3.2832,-0.012
-0.1175,3.2832,-0.016
-0.11748,3.2832,-0.016
-0.11746,3.3264,-0.004
-0.11744,3.3264,-0.004
-0.11742,3.4128,0.004
-0.1174,3.4128,0.016
-0.11738,3.4128,0.012
-0.11736,3.4992,0.016
-0.11734,3.4992,0.02
-0.1173199875,3.5856,0.02
-0.1173,3.5856,0.024
-0.11728,3.5856,0.028
-0.11726,3.672,0.04
-0.11724,3.5856,0.044
-0.11722,3.672,0.044
-0.1172,3.7584,0.06
-0.11718,3.7584,0.056
-0.11716,3.7584,0.064
-0.11714,3.8448,0.068
-0.11712,3.8448,0.068
-0.1171,3.888,0.084
-0.11708,3.8448,0.088
-0.11706,3.9744,0.096
-0.1170399875,3.888,0.092
-0.11702,3.9744,0.1
-0.117,4.0608,0.092
-0.11698,3.9744,0.104
-0.11696,3.9744,0.112
-0.11694,3.888,0.116
-0.11692,3.888,0.12
-0.1169,3.8448,0.128
-0.11688,3.8448,0.124
-0.11686,3.8448,0.116
-0.11684,3.7584,0.132
-0.11682,3.7584,0.136
-0.1168,3.7584,0.144
-0.11678,3.672,0.148
-0.11676,3.672,0.16
-0.11674,3.672,0.164
-0.11672,3.5856,0.16
-0.1166999875,3.4992,0.164
-0.11668,3.4992,0.164
-0.11666,3.4992,0.172
-0.11664,3.4992,0.18
-0.11662,3.4128,0.176
-0.1166,3.4128,0.2
-0.11658,3.4128,0.192
-0.11656,3.3264,0.192
-0.11654,3.3264,0.196
-0.11652,3.3264,0.208
-0.1165,3.2832,0.204
-0.11648,3.2832,0.212
-0.11646,3.1968,0.208
-0.11644,3.1968,0.22
-0.1164199875,3.1968,0.224
-0.1164,3.1104,0.22
-0.11638,3.1104,0.228
-0.11636,3.1104,0.224
-0.11634,3.1104,0.232
-0.11632,2.9376,0.24
-0.1163,3.024,0.232
-0.11628,2.9376,0.24
-0.11626,2.8512,0.24
-0.11624,2.8512,0.268
-0.11622,2.8512,0.26
-0.1162,2.8512,0.264
-0.11618,2.7648,0.268
-0.11616,2.7216,0.26
-0.11614,2.7216,0.264
-0.11612,2.6352,0.276
-0.1161,2.6352,0.28
-0.1160799875,2.7216,0.28
-0.11606,2.6352,0.28
-0.11604,2.5488,0.284
-0.11602,2.5488,0.288
-0.116,2.4624,0.28
-0.11598,2.5488,0.288
-0.11596,2.4624,0.292
-0.11594,2.376,0.292
-0.11592,2.376,0.296
-0.1159,2.376,0.296
-0.11588,2.376,0.296
-0.11586,2.2896,0.296
-0.11584,2.2032,0.308
-0.11582,2.2032,0.312
-0.1158,2.2032,0.316
-0.11578,2.2032,0.32
-0.11576,2.16,0.328
-0.11574,2.16,0.32
-0.11572,2.0736,0.32
-0.1157,2.0736,0.328
-0.11568,1.9872,0.324
-0.11566,1.9872,0.336
-0.11564,1.9008,0.332
-0.11562,1.9008,0.336
-0.1156,1.9008,0.336
-0.11558,1.9008,0.34
-0.11556,1.8144,0.344
-0.11554,1.728,0.336
-0.11552,1.8144,0.34
-0.1155,1.728,0.344
-0.11548,1.6848,0.34
-0.1154599875,1.6848,0.34
-0.11544,1.6848,0.34
-0.11542,1.5984,0.352
-0.1154,1.5984,0.344
-0.11538,1.5984,0.348
-0.11536,1.512,0.348
-0.11534,1.512,0.356
-0.11532,1.512,0.36
-0.1153,1.4256,0.36
-0.11528,1.4256,0.36
-0.11526,1.3392,0.352
-0.11524,1.3392,0.36
-0.11522,1.2528,0.36
-0.1152,1.2528,0.356
-0.11518,1.2528,0.36
-0.11516,1.1664,0.36
-0.11514,1.1664,0.36
-0.1151199875,1.1232,0.372
-0.1151,1.1232,0.356
-0.11508,1.1232,0.368
-0.11506,1.0368,0.376
-0.11504,1.0368,0.372
-0.11502,1.0368,0.368
-0.115,0.9504,0.364
-0.11498,0.9504,0.364
-0.11496,0.9504,0.368
-0.11494,0.864,0.364
-0.11492,0.7776,0.368
-0.1149,0.7776,0.372
-0.11488,0.7776,0.372
-0.11486,0.6912,0.368
-0.1148399875,0.6912,0.372
-0.11482,0.6048,0.372
-0.1148,0.6048,0.376
-0.11478,0.5616,0.372
-0.11476,0.5616,0.38
-0.11474,0.5616,0.372
-0.11472,0.4752,0.376
-0.1147,0.4752,0.376
-0.11468,0.4752,0.376
-0.11466,0.3888,0.368
-0.11464,0.3888,0.384
-0.11462,0.3024,0.364
-0.1146,0.3024,0.376
-0.11458,0.216,0.368
-0.11456,0.216,0.372
-0.11454,0.3024,0.376
-0.11452,0.1296,0.38
-0.1144999875,0.1296,0.372
-0.11448,0.1296,0.38
-0.11446,0.0432,0.38
-0.11444,0.0864,0.356
-0.11442,0.0432,0.356
-0.1144,-0.0432,0.36
-0.11438,-0.0432,0.38
-0.11436,-0.0432,0.38
-0.11434,-0.1296,0.368
-0.11432,-0.1296,0.368
-0.1143,-0.216,0.364
-0.11428,-0.1296,0.368
-0.11426,-0.216,0.368
-0.11424,-0.216,0.364
-0.11422,-0.3024,0.36
-0.1142,-0.3888,0.392
-0.11418,-0.3888,0.4
-0.11416,-0.3888,0.316
-0.11414,-0.3888,0.4
-0.11412,-0.432,0.368
-0.1141,-0.5184,0.356
-0.11408,-0.5184,0.356
-0.11406,-0.5184,0.352
-0.11404,-0.6048,0.348
-0.11402,-0.6048,0.356
-0.114,-0.6912,0.348
-0.11398,-0.6912,0.352
-0.11396,-0.6912,0.348
-0.11394,-0.7776,0.344
-0.11392,-0.7776,0.344
-0.1139,-0.864,0.348
-0.1138799875,-0.864,0.336
-0.11386,-0.9504,0.348
-0.11384,-0.9504,0.336
-0.11382,-0.9936,0.34
-0.1138,-1.08,0.336
-0.11378,-0.9936,0.34
-0.11376,-1.08,0.336
-0.11374,-1.08,0.336
-0.11372,-1.1664,0.328
-0.1137,-1.1664,0.336
-0.11368,-1.2528,0.324
-0.11366,-1.1664,0.324
-0.11364,-1.2528,0.324
-0.11362,-1.3392,0.324
-0.1136,-1.2528,0.316
-0.11358,-1.3392,0.308
-0.11356,-1.3392,0.312
-0.11354,-1.4256,0.308
-0.11352,-1.4256,0.304
-0.1135,-1.512,0.304
-0.11348,-1.512,0.296
