Source,CH1,CH2
Second,Volt,Volt
-0.009566,4.16,-0.216
-0.009564,4.16,-0.204
-0.009562,4.16,-0.2
-0.00956,4.16,-0.204
-0.009557999,4.16,-0.2
-0.009556,4.16,-0.208
-0.009553999,4.16,-0.196
-0.009552,4.16,-0.2
-0.009549999,4.16,-0.2
-0.009548,4.16,-0.192
-0.009545999,4.24,-0.216
-0.009544,4.16,-0.196
-0.009541999,4.16,-0.196
-0.00954,4.24,-0.2
-0.009537999,4.16,-0.196
-0.009536,4.24,-0.216
-0.009534001,4.16,-0.196
-0.009532,4.16,-0.188
-0.009530001,4.16,-0.2
-0.009528,4.16,-0.192
-0.009526001,4.16,-0.172
-0.009524,4.16,-0.196
-0.009522001,4.16,-0.196
-0.00952,4.16,-0.18
-0.009518,4.16,-0.192
-0.009516,4.16,-0.216
-0.009514,4.16,-0.192
-0.009512,4.16,-0.188
-0.00951,4.16,-0.188
-0.009508,4.16,-0.192
-0.009506,4.24,-0.196
-0.009504,4.16,-0.192
-0.009502,4.16,-0.184
-0.0095,4.16,-0.188
-0.009498,4.16,-0.188
-0.009495999,4.16,-0.188
-0.009494,4.16,-0.188
-0.009491999,4.16,-0.184
-0.00949,4.16,-0.18
-0.009487999,4.16,-0.18
-0.009486,4.16,-0.18
-0.009483999,4.16,-0.18
-0.009482,4.16,-0.184
-0.009479999,4.16,-0.18
-0.009478,4.16,-0.184
-0.009475999,4.16,-0.184
-0.009474,4.16,-0.196
-0.009472001,4.24,-0.184
-0.00947,4.16,-0.184
-0.009468001,4.16,-0.184
-0.009466,4.16,-0.192
-0.009464001,4.16,-0.188
-0.009462,4.16,-0.184
-0.009460001,4.16,-0.184
-0.009458,4.16,-0.184
-0.009456,4.16,-0.184
-0.009454,4.16,-0.184
-0.009452,4.16,-0.18
-0.00945,4.16,-0.176
-0.009448,4.16,-0.176
-0.009446,4.24,-0.176
-0.009444,4.16,-0.168
-0.009442,4.16,-0.168
-0.00944,4.16,-0.172
-0.009438,4.16,-0.168
-0.009436,4.16,-0.168
-0.009433999,4.16,-0.168
-0.009432,4.16,-0.168
-0.009429999,4.16,-0.168
-0.009428,4.16,-0.164
-0.009425999,4.16,-0.164
-0.009424,4.16,-0.168
-0.009421999,4.16,-0.144
-0.00942,4.16,-0.164
-0.009417999,4.16,-0.16
-0.009416,4.16,-0.152
-0.009414001,4.16,-0.156
-0.009412,4.16,-0.156
-0.009410001,4.16,-0.16
-0.009408,4.16,-0.156
-0.009406001,4.16,-0.156
-0.009404,4.24,-0.156
-0.009402001,4.24,-0.156
-0.0094,4.16,-0.156
-0.009398001,4.24,-0.152
-0.009396,4.16,-0.156
-0.009394,4.16,-0.152
-0.009392,4.16,-0.156
-0.00939,4.16,-0.156
-0.009388,4.16,-0.156
-0.009386,4.16,-0.148
-0.009384,4.16,-0.156
-0.009382,4.16,-0.152
-0.00938,4.16,-0.152
-0.009378,4.16,-0.152
-0.009375999,4.16,-0.144
-0.009374,4.16,-0.152
-0.009371999,4.16,-0.148
-0.00937,4.16,-0.148
-0.009367999,4.16,-0.144
-0.009366,4.16,-0.148
-0.009363999,4.16,-0.148
-0.009362,4.16,-0.148
-0.009359999,4.16,-0.152
-0.009358,4.16,-0.152
-0.009355999,4.16,-0.148
-0.009354,4.24,-0.148
-0.009352001,4.16,-0.152
-0.00935,4.16,-0.152
-0.009348001,4.16,-0.156
-0.009346,4.16,-0.152
-0.009344001,4.16,-0.152
-0.009342,4.16,-0.14
-0.009340001,4.16,-0.148
-0.009338,4.16,-0.148
-0.009336,4.16,-0.144
-0.009334,4.16,-0.144
-0.009332,4.16,-0.144
-0.00933,4.16,-0.144
-0.009328,4.16,-0.14
-0.009326,4.16,-0.14
-0.009324,4.16,-0.124
-0.009322,4.08,-0.14
-0.00932,4.16,-0.144
-0.009318,4.16,-0.136
-0.009316,4.16,-0.14
-0.009313999,4.16,-0.132
-0.009312,4.16,-0.136
-0.009309999,4.16,-0.132
-0.009308,4.16,-0.128
