#Creator: wheelEventBuffer
#Creation time: Thu Apr 11 09:51:51 2019
#Time	Angular velocity
#[s]	[rad/s]
0.717154	2.666208
0.820298	5.133154
0.874740	6.877392
0.916738	8.548551
0.952482	9.363913
0.986008	9.447831
1.019260	9.444990
1.052522	9.447831
1.085772	9.447262
1.119024	9.448967
1.152270	9.448967
1.185520	9.448399
1.218782	9.444422
1.252052	9.440449
1.285336	9.437613
1.318640	9.427418
1.351972	9.423459
1.385316	9.418373
1.418692	9.409910
1.452092	9.402588
1.485518	9.392468
1.518974	9.387416
1.552454	9.380129
1.585948	9.379008
1.619450	9.375090
1.652956	9.376209
1.686464	9.375650
1.719976	9.374530
1.753484	9.375090
1.786992	9.376769
1.820496	9.375650
1.854004	9.376769
1.887516	9.373412
1.921038	9.370616
1.954570	9.367822
1.988122	9.357776
2.021706	9.351091
2.055308	9.347196
2.088944	9.336085
2.122600	9.330540
2.156286	9.322233
2.189992	9.316152
2.223730	9.310078
2.257476	9.307871
2.291236	9.302910
2.325000	9.305114
2.358764	9.304012
2.392532	9.304563
2.426292	9.305114
2.460052	9.306768
2.493808	9.305665
2.527572	9.305114
2.561344	9.300707
2.595126	9.297954
2.628920	9.295203
2.662732	9.286959
2.696572	9.280924
2.730428	9.277087
2.764314	9.266688
2.798230	9.259041
2.832174	9.250317
2.866144	9.244329
2.900144	9.237262
2.934154	9.236718
2.968172	9.232918
3.002196	9.233461
3.036222	9.231833
3.070254	9.232375
3.104276	9.233461
3.138300	9.234546
3.172316	9.235089
3.206338	9.235089
3.240364	9.231290
3.274404	9.228036
3.308454	9.224785
3.342528	9.213962
3.376636	9.208561
3.410756	9.204244
3.444910	9.195085
3.479090	9.188093
3.513294	9.179502
3.547528	9.173605
3.581788	9.167180
3.616062	9.164506
3.650346	9.161299
3.684636	9.162368
3.718924	9.161833
3.753218	9.161299
3.787504	9.162902
3.821792	9.162902
3.856076	9.161833
3.890368	9.162902
3.924664	9.158628
3.958970	9.155959
3.993286	9.154358
4.027622	9.144765
4.061988	9.138381
4.096372	9.134130
4.130792	9.123519
4.165238	9.116107
4.199714	9.107122
4.234218	9.101845
4.268750	9.095520
4.303290	9.093940
4.337844	9.089730
4.372404	9.090783
4.406962	9.089205
4.441530	9.089205
4.476088	9.090783
4.510642	9.092888
4.545192	9.092361
4.579746	9.092361
4.614310	9.088153
4.648884	9.084474
4.683476	9.080272
4.718088	9.070834
4.752734	9.065599
4.787392	9.062461
4.822084	9.051494
4.856802	9.045761
4.891550	9.035874
4.926326	9.029641
4.961134	9.022898
