#Creator: wheelEventBuffer
#Creation time: Thu Apr 11 09:51:51 2019
#Time	Angular velocity
#[s]	[rad/s]
1.934942	0.469189
2.529234	0.677698
2.954228	0.841348
3.302968	0.986427
3.603992	1.120309
3.871184	1.245892
4.112872	1.366088
4.334486	1.479817
4.540012	1.586903
4.732476	1.685386
4.914262	1.777261
5.086932	1.866441
5.251860	1.948710
5.410226	2.023492
5.563104	2.090799
5.711364	2.150715
5.855676	2.205276
5.996558	2.256373
6.134308	2.306027
6.269198	2.353888
6.401326	2.401829
6.530812	2.451037
6.657662	2.502942
6.781898	2.555179
6.903606	2.608950
7.022826	2.662051
7.139652	2.716654
7.254172	2.771097
7.366514	2.824259
7.476818	2.873180
7.585308	2.919696
7.692052	2.966845
7.797138	3.012767
7.900606	3.060490
8.002530	3.105998
8.103052	3.146690
8.202304	3.184391
8.300424	3.220033
8.397462	3.254794
8.493500	3.288937
8.588520	3.323522
8.682548	3.358268
8.775562	3.396904
8.867512	3.436063
8.958394	3.478368
9.048160	3.521096
9.136818	3.565616
9.224374	3.610860
9.310836	3.657608
9.396222	3.701478
9.480612	3.744717
9.564012	3.789434
9.646492	3.829436
9.728138	3.867337
9.809020	3.902697
9.889214	3.933777
9.968772	3.963555
10.047752	3.992366
10.126158	4.020981
10.204024	4.049175
10.281338	4.077766
10.358118	4.105369
10.434362	4.135416
10.510064	4.164691
10.585232	4.195167
10.659856	4.224274
10.733950	4.255286
10.807510	4.286406
10.880532	4.319290
10.953008	4.349429
11.024966	4.382435
11.096352	4.418555
11.167194	4.451740
11.237512	4.484146
11.307342	4.514950
11.376722	4.542499
11.445688	4.568260
11.514278	4.592435
11.582502	4.616730
11.650382	4.640599
11.717902	4.664854
11.785068	4.689224
11.851868	4.716681
11.918276	4.744318
11.984290	4.774602
12.049864	4.806157
12.115000	4.839772
12.179686	4.873406
12.243922	4.909352
12.307708	4.941165
12.371088	4.973078
12.434048	5.006363
12.496624	5.035088
12.558846	5.063165
12.620736	5.090402
12.682312	5.114934
12.743586	5.138695
12.804596	5.160473
12.865342	5.182265
12.925850	5.203208
12.986104	5.224320
13.046124	5.243854
13.105904	5.266357
13.165428	5.289055
13.224686	5.314644
13.283642	5.341754
13.342290	5.370978
13.400622	5.400338
13.458632	5.432274
13.516314	5.460031
13.573704	5.488840
13.630774	5.520282
13.687552	5.546597
13.744060	5.572769
13.800316	5.597592
13.856340	5.619017
13.912142	5.640000
13.967756	5.658692
14.023174	5.677919
14.078416	5.697071
14.133462	5.717184
14.188318	5.736183
14.242976	5.759107
14.297420	5.780937
14.351648	5.806796
14.405624	5.832670
14.459358	5.860087
14.512850	5.886439
14.566098	5.914365
14.619104	5.938963
14.671890	5.964672
14.724432	5.993118
14.776750	6.016763
14.828862	6.040827
14.880772	6.064148
14.932500	6.084113
14.984050	6.103498
15.035454	6.120622
15.086704	6.137841
15.137822	6.155399
15.188780	6.173786
15.239590	6.191794
15.290244	6.212364
15.340726	6.233319
15.391034	6.256906
15.441148	6.280422
15.491062	6.306646
15.540780	6.331048
15.590298	6.358984
15.639606	6.383016
15.688732	6.407491
15.737656	6.435053
15.786396	6.456743
15.834970	6.478312
15.883392	6.499219
15.931670	6.516745
15.979806	6.534910
16.027824	6.551263
16.075712	6.567698
16.123492	6.584492
16.171138	6.601926
16.218664	6.617780
16.266068	6.637355
16.313334	6.655071
16.360468	6.676569
16.407444	6.697921
16.454266	6.720272
16.500938	6.742194
16.547460	6.765716
16.593826	6.785004
16.640052	6.806761
16.686118	6.832223
16.732030	6.853686
16.777800	6.873781
16.823442	6.894296
16.868960	6.910979
16.914358	6.927742
16.959662	6.942439
17.004858	6.957815
17.049966	6.972949
17.094966	6.989394
17.139864	7.004354
17.184656	7.022830
17.229332	7.040457
17.273892	7.061346
17.318312	7.082678
17.362592	7.105747
17.406734	7.127995
17.450736	7.153314
17.494590	7.173896
17.538318	7.195256
17.581904	7.219728
17.625364	7.237692
17.668716	7.256416
17.711956	7.275574
17.755092	7.291447
17.798126	7.308409
17.841074	7.321694
17.883934	7.337084
17.926716	7.351162
17.969404	7.366676
18.012010	7.380174
18.054530	7.396856
18.096950	7.413963
18.139268	7.434666
18.181464	7.455132
18.223540	7.477134
18.265496	7.498192
18.307334	7.521170
18.349050	7.540305
18.390658	7.560629
18.432144	7.584358
18.473516	7.602712
18.514790	7.621155
18.555964	7.639688
18.597052	7.654207
18.638056	7.668032
18.678990	7.681907
18.719848	7.694701
18.760642	7.709430
18.801350	7.724215
18.841988	7.736770
18.882552	7.753190
18.923028	7.769296
18.963416	7.788558
19.003700	7.807527
19.043882	7.828929
19.083956	7.849272
19.123926	7.872482
19.163784	7.891070
19.203552	7.908949
19.243214	7.932113
19.282784	7.946961
19.322270	7.965095
19.361670	7.983717
19.400990	7.997537
19.440230	8.012632
19.479414	8.024092
