#Creator: wheelEventBuffer
#Creation time: Thu Apr 11 09:51:51 2019
#Time	Angular velocity
#[s]	[rad/s]
1.220806	0.419844
1.889378	0.597211
2.373858	0.731450
2.776110	0.851025
3.124856	0.965468
3.434244	1.078273
3.713120	1.186501
3.967734	1.290733
4.202660	1.392513
4.421182	1.490305
4.626182	1.582013
4.819900	1.667494
5.004068	1.748301
5.180114	1.826146
5.349100	1.896456
5.512210	1.959405
5.670450	2.014642
5.824624	2.063037
5.975308	2.108536
6.122810	2.152365
6.267358	2.195628
6.409120	2.237187
6.548264	2.279258
6.684768	2.323629
6.818660	2.369833
6.949874	2.418731
7.078450	2.468641
7.204392	2.521019
7.327738	2.574443
7.448556	2.627101
7.567128	2.674652
7.683644	2.719052
7.798280	2.761985
7.911100	2.808052
8.022098	2.853814
8.131390	2.896492
8.239176	2.934368
8.345654	2.967742
8.450972	2.999306
8.555210	3.028859
8.658424	3.059178
8.760630	3.088107
8.861878	3.118268
8.962090	3.150730
9.061262	3.185359
9.159316	3.221882
9.256256	3.259725
9.352044	3.299784
9.446652	3.342191
9.540028	3.386213
9.632250	3.428489
9.723352	3.469150
9.813394	3.508826
9.902456	3.548299
9.990568	3.583430
10.077836	3.616930
10.164332	3.647840
10.250146	3.674979
10.335348	3.700606
10.419974	3.724296
10.504044	3.749454
10.587570	3.772869
10.670584	3.796854
10.753044	3.821796
10.834978	3.847633
10.916320	3.875639
10.997082	3.904152
11.077244	3.934171
11.156788	3.965556
11.235674	3.998158
11.313930	4.031404
11.391536	4.065313
11.468482	4.099583
11.544816	4.133892
11.620538	4.164139
11.695724	4.193487
11.770408	4.219735
11.844664	4.242529
11.918530	4.264644
11.992024	4.284886
12.065154	4.306974
12.137922	4.327024
12.210356	4.348225
12.282404	4.371216
12.354078	4.395926
12.425316	4.422785
12.496122	4.450731
12.566470	4.480820
12.636344	4.512227
12.705706	4.545128
12.774608	4.575446
12.843050	4.605090
12.911046	4.634711
12.978630	4.664162
13.045796	4.690905
13.112578	4.717673
13.179010	4.740882
13.245134	4.761576
13.310984	4.781142
13.376572	4.798962
13.441906	4.818098
13.506986	4.835898
13.571832	4.854280
13.636404	4.875070
13.700706	4.896803
13.764690	4.921658
13.828358	4.946923
13.891692	4.974023
13.954680	5.001899
14.017296	5.031217
14.079574	5.058925
14.141510	5.086117
14.203104	5.113602
14.264396	5.140545
14.325368	5.164375
14.386068	5.186885
14.446516	5.207865
14.506738	5.225537
14.566762	5.243503
14.626584	5.259480
14.686214	5.277859
14.745640	5.294224
14.804892	5.311230
14.863930	5.330154
14.922768	5.349395
14.981364	5.371713
15.039722	5.394774
15.097828	5.418781
15.155672	5.444513
15.213230	5.470299
15.270550	5.492871
15.327630	5.515049
15.384466	5.538579
15.441074	5.562901
15.497438	5.584656
15.553580	5.606783
15.609520	5.625658
15.665282	5.642228
15.720890	5.658284
15.776342	5.672383
15.831646	5.688818
15.886794	5.703897
15.941800	5.719682
15.996638	5.736811
16.051316	5.755098
16.105800	5.775836
16.160092	5.796510
16.214184	5.819488
16.268058	5.843954
16.321692	5.869722
16.375112	5.893286
16.428318	5.916148
16.481310	5.939412
16.534116	5.962408
16.586720	5.981252
16.639156	6.001132
16.691430	6.019069
16.743556	6.034330
16.795552	6.050833
16.847418	6.063914
16.899158	6.079874
16.950768	6.093554
17.002268	6.108008
17.053630	6.123485
17.104868	6.140481
17.155940	6.160227
17.206854	6.180344
17.257598	6.202062
17.308164	6.224673
17.358530	6.248444
17.408732	6.269142
17.458758	6.290734
17.508606	6.312475
17.558296	6.335133
17.607810	6.353840
17.657180	6.373175
17.706410	6.389767
17.755524	6.403572
17.804534	6.417700
17.853440	6.429784
17.902244	6.444557
17.950940	6.457539
17.999542	6.471373
18.048028	6.486070
18.096408	6.502179
18.144648	6.520533
18.192762	6.538718
18.240730	6.559470
18.288548	6.581457
18.336192	6.604702
18.383692	6.624758
18.431044	6.644655
18.478248	6.664388
18.525324	6.685093
18.572258	6.701921
18.619068	6.720559
18.665756	6.737567
18.712340	6.750016
18.758838	6.764259
18.805244	6.775346
18.851564	6.789403
18.897794	6.800867
18.943950	6.813552
18.990002	6.828065
19.035966	6.843236
19.081806	6.861170
19.127538	6.878597
19.173144	6.898232
19.218624	6.918284
19.263958	6.939372
19.309172	6.958740
19.354254	6.978216
19.399206	6.998112
19.444040	7.019064
19.488750	7.034151
19.533354	7.051835
19.577860	7.066428
19.622280	7.077891
19.666628	7.091311
19.710898	7.101891
19.755090	7.115725
19.799200	7.127348
19.843248	7.139334
19.887206	7.152337
19.931090	7.166369
19.974872	7.182753
20.018558	7.200203
20.062132	7.218733
20.105598	7.238359
20.148930	7.259434
20.192158	7.277259
20.235278	7.294494
20.278284	7.313513
20.321196	7.331605
20.363996	7.348411
20.406700	7.364604
20.449314	7.379481
20.491856	7.390592
20.534330	7.403131
20.576740	7.412563
20.619084	7.425529
20.661360	7.436074
20.703578	7.448062
20.745718	7.460798
20.787790	7.474288
20.829772	7.490326
20.871670	7.506075
20.913474	7.523692
20.955184	7.541753
20.996774	7.563177
21.038270	7.581063
21.079660	7.598666
21.120948	7.617460
21.162154	7.634861
21.203262	7.648616
21.244294	7.664290
21.285248	7.677401
21.326138	7.688675
21.366970	7.700737
21.407750	7.707538
21.448498	7.713594
21.489234	7.710944
21.530008	7.702247
21.570830	7.689051
21.611744	7.670653
21.652748	7.651224
21.693868	7.629669
21.735100	7.608604
21.776448	7.588755
21.817888	7.570832
21.859452	7.548639
21.901124	7.527658
21.942912	7.507869
21.984818	7.487470
22.026842	7.464698
22.068988	7.442416
22.111274	7.417114
22.153708	7.389896
22.196302	7.362188
22.239062	7.332632
22.281982	7.306709
22.325058	7.278270
22.368310	7.250052
22.411718	7.224045
22.455286	7.197894
22.498998	7.174552
22.542856	7.151360
22.586854	7.129613
22.630984	7.109606
22.675222	7.090991
22.719602	7.068972
22.764114	7.046458
22.808764	7.024400
22.853566	7.002480
22.898512	6.977286
22.943612	6.953503
22.988878	6.927437
23.034324	6.898535
23.079962	6.869872
23.125794	6.839362
23.171826	6.810893
23.218052	6.780026
23.264494	6.751177
23.311120	6.722573
23.357952	6.695351
23.404950	6.671181
23.452132	6.646341
23.499482	6.623361
23.546996	6.601371
23.594656	6.580354
23.642488	6.557006
23.690486	6.533551
23.738646	6.511613
23.786986	6.489285
23.835494	6.463119
23.884200	6.436898
23.933116	6.408536
23.982262	6.376538
24.031654	6.345883
24.081290	6.312475
24.131178	6.282431
24.181310	6.249936
24.231710	6.218267
24.282350	6.187892
24.333248	6.158054
24.384370	6.130655
24.435726	6.103735
24.487302	6.078933
24.539088	6.054798
24.591058	6.033402
24.643248	6.007559
24.695654	5.981935
24.748280	5.956303
24.801146	5.931338
24.854238	5.903030
24.907584	5.874991
24.961198	5.844824
25.015108	5.810662
25.069336	5.777110
25.123890	5.740795
25.178772	5.707421
25.233988	5.671769
25.289554	5.636761
25.345452	5.602983
25.401688	5.570397
25.458230	5.540728
25.515082	5.510986
25.572238	5.482327
25.629686	5.455669
25.687398	5.429833
25.745410	5.402567
25.803708	5.374838
25.862304	5.347574
25.921218	5.319684
25.980452	5.288164
26.040042	5.255960
26.100014	5.221368
26.160402	5.183804
26.221232	5.146440
26.282512	5.107118
26.344256	5.069702
26.406466	5.029606
26.469182	4.990457
26.532368	4.952538
26.596044	4.915497
26.660166	4.881585
26.724748	4.848137
26.789756	4.816768
26.855186	4.786970
26.921004	4.758114
26.987262	4.726616
27.053956	4.694269
27.121104	4.662223
27.188740	4.629930
27.256854	4.594718
27.325506	4.558186
27.394732	4.518847
27.464596	4.475458
27.535152	4.431394
27.606424	4.384882
27.678444	4.339936
27.751228	4.292849
27.824816	4.246543
27.899182	4.201788
27.974344	4.158626
28.050248	4.117961
